始発停留所	西谷内				
始発時間	07:05				
終点時間	07:57				
終点停留所	七尾駅前【１】				
備考					
富来-C					
地頭町-B					
高田					
東小室					
広地					
大平					
西谷内	07:05				
藤の瀬-B	07:07				
藤の瀬下出	07:09				
免田口	07:11				
横田-B	07:13				
久麻加夫都神社前-B	07:14				
谷内	07:15				
上町-B	07:16				
上町橋	07:17				
天神橋	07:18				
浜田-B	07:19				
中島駅前-B	07:21				
奥吉田-B	07:23				
大覚寺-B	07:24				
笠師保小学校前-B	07:25				
塩津-B	07:27				
笠師保駅前-B	07:28				
大津口-B	07:30				
深見口-B	07:31				
白浜-B	07:32				
白浜東-B	07:33				
三引口-B	07:34				
ＪＡ田鶴浜支店前-B	07:35				
川尻-B	07:37				
舟尾-B	07:38				
田鶴浜住宅前-B	07:39				
奥原-B	07:40				
和倉駅前-B	07:42				
石崎口-B	07:43				
祖浜-B	07:45				
松百-B	07:47				
国立七尾病院前-B	07:48				
松百新町-B	07:49				
津向町-B	07:51				
小島町三丁目-B	07:52				
小島橋-B	07:54				
小丸山公園下-B	07:55				
七尾駅前【１】	07:57				
