始発停留所	中島駅前-A				
始発時間	18:35				
終点時間	18:48				
終点停留所	西谷内				
備考					
七尾駅前【４】					
小丸山公園下-A					
小島橋-A					
小島町三丁目-A					
津向町-A					
松百新町-A					
国立七尾病院前-A					
松百-A					
祖浜-A					
石崎口-A					
和倉駅前-A					
奥原-A					
田鶴浜住宅前-A					
舟尾-A					
川尻-A					
ＪＡ田鶴浜支店前-A					
三引口-A					
白浜東-A					
白浜-A					
深見口-A					
大津口-C					
笠師保駅前-A					
塩津-A					
笠師保小学校前-A					
大覚寺-A					
奥吉田-A					
中島駅前-A	18:35				
浜田-A	18:37				
天神橋	18:38				
上町橋	18:39				
上町-A	18:40				
谷内	18:41				
久麻加夫都神社前-A	18:42				
横田-A	18:43				
免田口	18:44				
藤の瀬下出	18:45				
藤の瀬-A	18:46				
西谷内	18:48				
大平					
広地					
東小室					
高田					
地頭町-A					
富来-E					
