始発停留所	和倉温泉				
始発時間	08:10				
終点時間	10:18				
終点停留所	兼六園下（北鉄車庫前）				
備考					
和倉温泉	08:10				
和倉インフォメーション	08:12				
和倉駅前-B	08:15				
国立七尾病院前-B	08:17				
桜町-B	08:20				
能登食祭市場-B	08:21				
七尾駅前【１】	08:25				
八幡-B	08:33				
二宮-B	08:44				
鹿島庁舎前-B	08:47				
小竹-B	08:48				
高畠-B	08:54				
酒井-B	08:58				
飯山-B	09:03				
杉野屋-B	09:05				
子浦-A	09:09				
医大病院-B	09:38				
向陽台（清湖大橋方向）	09:42				
県庁前（中央病院側）	09:51				
駅西合庁前（西念南方向）	09:54				
金沢駅西口降車	10:02				
武蔵ヶ辻（三井住友銀行）	10:07				
香林坊（中央公園前）	10:10				
広坂（しいのき迎賓館前）	10:12				
兼六園下（北鉄車庫前）	10:18				
