始発停留所	松任駅前	松任駅前			
始発時間	12:25	13:30			
終点時間	12:51	13:56			
終点停留所	中島東	中島東			
備考					
松任駅前	12:25	13:30			
松任１	12:26	13:31			
広小路（松任）-A	12:27	13:32			
蕪城通り-A	12:28	13:33			
松任中学校前-A	-	-			
倉光-A	-	-			
松任合庁前-A	12:30	13:35			
白山市役所前-A	12:31	13:36			
総合運動公園東口-A	12:32	13:37			
松任中央病院-A	12:33	13:38			
開発-B	12:35	13:40			
平松-A	12:36	13:41			
林中-A	12:37	13:42			
乙丸-A	12:38	13:43			
菅波-B	12:39	13:44			
藤波	12:40	13:45			
藤の木-B	12:41	13:46			
向島-A	12:42	13:47			
矢頃島-B	12:43	13:48			
漆島-B	12:44	13:49			
山島台中央-B	12:45	13:50			
三反田	12:46	13:51			
中島農協前	12:47	13:52			
中島-B	12:48	13:53			
中島東	12:51	13:56			
藤蔵					
山の庄					
