始発停留所	高尾	高尾	高尾	金沢工業大学（正門前）	高尾	高尾	金沢工業大学（正門前）	高尾	高尾	金沢工業大学（正門前）	高尾	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾			
始発時間	07:02	07:40	08:08	08:43	09:10	09:40	10:12	10:40	11:10	11:38	12:08	12:40	13:10	13:40	14:10	14:40	15:10	15:43	16:15	16:45	17:15	17:52	18:30	19:12	19:52	20:41	21:23			
終点時間	07:55	08:33	09:03	09:42	10:10	10:38	11:12	11:38	12:10	12:42	13:08	13:38	14:08	14:40	15:10	15:40	16:10	16:41	17:13	17:45	18:13	18:52	19:28	20:07	20:39	21:28	22:10			
終点停留所	大野港（始発）	大野港（始発）	大野	からくり記念館	大野	大野港（始発）	大野	大野港（始発）	大野	からくり記念館	大野	大野港（始発）	大野港（始発）	大野	大野	大野	大野	大野港（始発）	大野港（始発）	大野	大野港（始発）	大野	大野港（始発）	大野	金石-A	金石-A	金石-A			
備考			ノンステップバス		ノンステップバス	ノンステップバス			ノンステップバス		ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス			ノンステップバス					ノンステップバス			
高尾	07:02	07:40	08:08		09:10	09:40		10:40	11:10		12:08	12:40	13:10		14:10		15:10		16:15		17:15	17:52	18:30		19:52		21:23			
高尾台二丁目	07:02	07:40	08:08		09:10	09:40		10:40	11:10		12:08	12:40	13:10		14:10		15:10		16:15		17:15	17:52	18:30		19:52		21:23			
上三馬-B	07:04	07:42	08:10		09:12	09:42		10:42	11:12		12:10	12:42	13:12		14:12		15:12		16:17		17:17	17:54	18:32		19:54		21:25			
三馬-A	07:05	07:43	08:11		09:13	09:43		10:43	11:13		12:11	12:43	13:13		14:13		15:13		16:18		17:18	17:55	18:33		19:55		21:26			
金沢工業大学（正門前）	-	-	-	08:43	-	-	10:12	-	-	11:38	-	-	-	13:40	-	14:40	-	15:43	-	16:45	-	-	-	19:12	-	20:41	-			
西三馬（市内方向）	-	-	-	08:44	-	-	10:13	-	-	11:39	-	-	-	13:41	-	14:41	-	15:44	-	16:46	-	-	-	19:13	-	20:42	-			
西三馬（高尾から）	07:06	07:44	08:12	-	09:14	09:44	-	10:44	11:14	-	12:12	12:44	13:14	-	14:14	-	15:14	-	16:19	-	17:19	17:56	18:34	-	19:56	-	21:27			
久安二丁目-B	07:07	07:45	08:13	08:45	09:15	09:45	10:14	10:45	11:15	11:40	12:13	12:45	13:15	13:42	14:15	14:42	15:15	15:45	16:20	16:47	17:20	17:57	18:35	19:14	19:57	20:43	21:28			
久安三丁目-B	07:08	07:46	08:14	08:46	09:16	09:46	10:15	10:46	11:16	11:41	12:14	12:46	13:16	13:43	14:16	14:43	15:16	15:46	16:21	16:48	17:21	17:58	18:36	19:15	19:58	20:44	21:29			
