始発停留所	大野港（始発）	大野	金石-A	大野港（始発）	大野	大野	大野港（始発）	大野	大野	大野港（始発）	大野	からくり記念館	大野	大野	大野港（始発）	大野	からくり記念館	大野	大野港（始発）	大野	大野港（始発）	金石-A	大野	大野港（始発）	大野	大野港（始発）	大野	大野	大野港（始発）	
始発時間	06:10	06:50	06:55	07:06	07:22	07:35	07:44	08:02	08:17	08:29	08:47	09:15	10:17	10:44	11:22	12:17	13:30	14:32	15:20	16:32	17:30	18:05	18:28	18:50	19:12	20:14	20:57	21:27	22:05	
終点時間	06:55	07:58	07:50	08:03	08:26	08:39	08:31	09:06	09:01	09:31	09:47	10:19	11:17	11:44	12:20	13:17	14:34	15:32	16:18	17:32	18:32	19:01	19:32	19:52	20:16	21:12	21:52	22:22	22:42	
終点停留所	兼六園下（北鉄車庫前）	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	高尾	高尾	兼六園下（北鉄車庫前）	金沢工業大学-A	小立野大学病院前（降車場）	金沢工業大学-A	高尾	金沢工業大学-A	高尾	金沢工業大学-A	金沢工業大学-A	高尾	高尾	高尾	金沢工業大学-A	高尾	高尾	高尾	金沢工業大学-A	高尾	金沢工業大学-A	高尾	高尾	金沢工業大学-A	兼六園下（北鉄車庫前）	
備考			学期休み期間、運休
ノンステップバス		ノンステップバス			ノンステップバス					ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス		
からくり記念館												09:15					13:30													
大野港（始発）	06:10			07:06			07:44			08:29		-			11:22		-		15:20		17:30			18:50		20:14			22:05	
大野港（からくりから）	-			-			-			-		09:16			-		13:31		-		-			-		-			-	
金沢港いきいき魚市前-B	-			-			-			-		09:17			-		13:32		-		-			-		-			-	
桂町東（大野港から）	06:11			07:07			07:45			08:30		-			11:23		-		15:21		17:31			18:51		20:15			22:06	
桂町東（からくりから）	-			-			-			-		09:20			-		13:35		-		-			-		-			-	
桂町-B	06:12			07:08			07:46			08:31		09:21			11:24		13:36		15:22		17:32			18:52		20:16			22:07	
金石北-B	06:14			07:10			07:48			08:33		09:23			11:26		13:38		15:24		17:34			18:54		20:18			22:09	
金石東-B	06:15			07:11			07:49			08:34		09:24			11:27		13:39		15:25		17:35			18:55		20:19			22:10	
大野	-	06:50		-	07:22	07:35	-	08:02	08:17	-	08:47	-	10:17	10:44	-	12:17	-	14:32	-	16:32	-		18:28	-	19:12	-	20:57	21:27	-	
大野中央-B	-	06:51		-	07:23	07:36	-	08:03	08:18	-	08:48	-	10:18	10:45	-	12:18	-	14:33	-	16:33	-		18:29	-	19:13	-	20:58	21:28	-	
相生住宅-B	-	06:52		-	07:24	07:37	-	08:04	08:19	-	08:49	-	10:19	10:46	-	12:19	-	14:34	-	16:34	-		18:30	-	19:14	-	20:59	21:29	-	
相生町-B	-	06:53		-	07:25	07:38	-	08:05	08:20	-	08:50	-	10:20	10:47	-	12:20	-	14:35	-	16:35	-		18:31	-	19:15	-	21:00	21:30	-	
金石西-B	-	06:55		-	07:27	07:40	-	08:07	08:22	-	08:52	-	10:22	10:49	-	12:22	-	14:37	-	16:37	-		18:33	-	19:17	-	21:02	21:32	-	
金石-A	06:16	06:58	06:55	07:12	07:30	07:43	07:50	08:10	08:25	08:35	08:55	09:25	10:25	10:52	11:28	12:25	13:40	14:40	15:26	16:40	17:36	18:05	18:36	18:56	19:20	20:20	21:05	21:35	22:11	
西警察署前-B	06:17	06:59	06:56	07:13	07:31	07:44	07:51	08:11	08:26	08:36	08:56	09:26	10:26	10:53	11:29	12:26	13:41	14:41	15:27	16:41	17:37	18:06	18:37	18:57	19:21	20:21	21:06	21:36	22:12	
寺中-B	06:18	07:00	06:57	07:14	07:32	07:45	07:52	08:12	08:27	08:37	08:57	09:27	10:27	10:54	11:30	12:27	13:42	14:42	15:28	16:42	17:38	18:07	18:38	18:58	19:22	20:22	21:07	21:37	22:13	
観音堂-B	06:20	07:02	06:59	07:16	07:34	07:47	07:54	08:14	08:29	08:39	08:59	09:29	10:29	10:56	11:32	12:29	13:44	14:44	15:30	16:44	17:40	18:09	18:40	19:00	19:24	20:24	21:09	21:39	22:15	
畝田-B	06:21	07:03	07:00	07:17	07:35	07:48	07:55	08:15	08:30	08:40	09:00	09:30	10:30	10:57	11:33	12:30	13:45	14:45	15:31	16:45	17:41	18:10	18:41	19:01	19:25	20:25	21:10	21:40	22:16	
市立工業高校前-B	06:22	07:04	07:01	07:18	07:36	07:49	07:56	08:16	-	08:41	09:01	09:31	10:31	10:58	11:34	12:31	13:46	14:46	15:32	16:46	17:42	18:11	18:42	19:02	19:26	20:26	21:11	21:41	22:17	
藤江-B	06:23	07:05	07:02	07:19	07:37	07:50	07:57	08:17	08:33	08:42	09:02	09:32	10:32	10:59	11:35	12:32	13:47	14:47	15:33	16:47	17:43	18:12	18:43	19:03	19:27	20:27	21:12	21:42	22:18	
北町西-B	06:25	07:07	07:04	07:21	07:39	07:52	07:59	08:19	-	08:44	09:04	09:34	10:34	11:01	11:37	12:34	13:49	14:49	15:35	16:49	17:45	18:14	18:45	19:05	19:29	20:29	21:14	21:44	22:20	
北町-B	06:26	07:08	07:05	07:22	07:40	07:53	08:00	08:20	-	08:45	09:05	09:35	10:35	11:02	11:38	12:35	13:50	14:50	15:36	16:50	17:46	18:15	18:46	19:06	19:30	20:30	21:15	21:45	22:21	
中央市場口-B	06:27	07:09	07:06	07:23	07:42	07:55	08:02	08:22	-	08:47	09:06	09:36	10:36	11:03	11:39	12:36	13:51	14:51	15:37	16:51	17:48	18:17	18:48	19:08	19:32	20:31	21:16	21:46	22:22	
