始発停留所	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B		
始発時間	06:55	07:05	07:20	07:40	08:00	08:20	08:45	09:05	09:25	09:50	09:55	10:25	10:55	11:25	11:30	11:50	12:15	12:38	13:05	13:30	13:40	14:13	14:40	15:10	15:38	15:55	16:10	16:40	17:10	17:40	18:10	18:10	18:43	19:15	19:40	20:05	20:35	21:05		
終点時間	07:23	07:33	07:52	08:28	08:32	08:48	09:30	09:38	10:19	10:23	10:28	10:58	11:49	11:58	12:03	12:23	13:03	13:11	13:59	14:03	14:28	14:46	15:13	16:04	16:11	16:28	16:43	17:13	18:03	18:13	19:03	18:43	19:16	19:43	20:28	20:33	21:03	21:33		
終点停留所	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	小立野大学病院前（降車場）	御所二丁目	小立野大学病院前（降車場）	兼六園下（北鉄車庫前）	星稜高校（駐車場内）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）		
備考							ノンステップバス											ノンステップバス	ノンステップバス																					
やすらぎホーム前		07:05								09:50					11:30					13:30						15:55						18:10								
御経塚中-B		07:06								09:51					11:31					13:31						15:56						18:11								
八日市三丁目-B		07:08								09:53					11:33					13:33						15:58						18:13								
八日市四丁目-B		07:10								09:55					11:35					13:35						16:00						18:15								
八日市五丁目-B		07:11								09:56					11:36					13:36						16:01						18:16								
押野二丁目-B		07:13								09:58					11:38					13:38						16:03						18:18								
押野中央-B		07:14								09:59					11:39					13:39						16:04						18:19								
伏見橋（ニューハウス前）		07:16								10:01					11:41					13:41						16:06						18:21								
伏見橋（県道市内方向）		07:16								10:01					11:41					13:41						16:06						18:21								
二万堂-B		07:18								10:03					11:43					13:43						16:08						18:23								
有松（二万堂から）		07:19								10:04					11:44					13:44						16:09						18:24								
泉二丁目-B		07:20								10:05					11:45					13:45						16:10						18:25								
泉一丁目-B		07:21								10:06					11:46					13:46						16:11						18:26								
野町-B		07:22								10:07					11:47					13:47						16:12						18:27								
広小路（有松から）		07:23								10:08					11:48					13:48						16:13						18:28								
いなほ工業団地		-								-					-					-						-						-								
いなほ一丁目-B		-								-					-					-						-						-								
上荒屋西-B	06:55	-	07:20	07:40	08:00	08:20	08:45	09:05	09:25	-	09:55	10:25	10:55	11:25	-	11:50	12:15	12:38	13:05	-	13:40	14:13	14:40	15:10	15:38	-	16:10	16:40	17:10	17:40	18:10	-	18:43	19:15	19:40	20:05	20:35	21:05		
上荒屋大橋-B	06:55	-	07:20	07:40	08:00	08:20	08:45	09:05	09:25	-	09:55	10:25	10:55	11:25	-	11:50	12:15	12:38	13:05	-	13:40	14:13	14:40	15:10	15:38	-	16:10	16:40	17:10	17:40	18:10	-	18:43	19:15	19:40	20:05	20:35	21:05		
上荒屋-B	06:56	-	07:21	07:41	08:01	08:21	08:46	09:06	09:26	-	09:56	10:26	10:56	11:26	-	11:51	12:16	12:39	13:06	-	13:41	14:14	14:41	15:11	15:39	-	16:11	16:41	17:11	17:41	18:11	-	18:44	19:16	19:41	20:06	20:36	21:06		
矢木-B	06:57	-	07:22	07:42	08:02	08:22	08:47	09:07	09:27	-	09:57	10:27	10:57	11:27	-	11:52	12:17	12:40	13:07	-	13:42	14:15	14:42	15:12	15:40	-	16:12	16:42	17:12	17:42	18:12	-	18:45	19:17	19:42	20:07	20:37	21:07		
