始発停留所	県庁前-C	中央病院前	県庁前-C	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	県庁前-C	県庁前-C	県庁前-C	県庁前-C	県庁前-C	県庁前-C	県庁前-C	県庁前-C				
始発時間	06:52	07:42	08:20	08:43	09:55	10:33	11:00	11:52	13:12	13:35	14:20	14:45	14:57	16:05	16:22	17:29	18:25	19:47	20:00	20:15	20:35	20:55	21:15	21:35	22:00	22:50				
終点時間	07:25	07:54	08:30	09:21	10:11	11:11	11:16	12:30	13:50	13:51	14:58	15:01	15:35	16:43	17:00	18:07	19:05	20:22	20:10	20:25	21:08	21:05	21:48	21:45	22:33	23:00				
終点停留所	野町駅-B	金沢駅西口降車	金沢駅西口降車	野町駅-B	金沢駅西口降車	野町駅-B	金沢駅西口降車	野町駅-B	野町駅-B	金沢駅西口降車	野町駅-B	金沢駅西口降車	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	金沢駅西口降車	金沢駅西口降車	野町駅-B	金沢駅西口降車	野町駅-B	金沢駅西口降車	野町駅-B	金沢駅西口降車				
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				
中央病院前		07:42		08:43	09:55	10:33	11:00	11:52	13:12	13:35	14:20	14:45	14:57	16:05	16:22	17:29	18:25	19:47												
映寿会みらい病院		07:43		08:44	09:56	10:34	11:01	11:53	13:13	13:36	14:21	14:46	14:58	16:06	16:23	17:30	18:26	19:48												
県庁前-C	06:52	07:45	08:20	08:46	-	10:36	-	11:55	13:15	-	14:23	-	15:00	16:08	16:25	17:32	18:28	19:50	20:00	20:15	20:35	20:55	21:15	21:35	22:00	22:50				
駅西合庁前（西念南方向）	06:55	07:48	08:23	08:49	-	10:39	-	11:58	13:18	-	14:26	-	15:03	16:11	16:28	17:35	18:31	19:53	20:03	20:18	20:38	20:58	21:18	21:38	22:03	22:53				
西念西-B	06:56	07:49	08:24	08:50	-	10:40	-	11:59	13:19	-	14:27	-	15:04	16:12	16:29	17:36	18:32	19:54	20:04	20:19	20:39	20:59	21:19	21:39	22:04	22:54				
西念南-B	06:57	07:50	08:25	08:51	-	10:41	-	12:00	13:20	-	14:28	-	15:05	16:13	16:30	17:37	18:33	19:55	20:05	20:20	20:40	21:00	21:20	21:40	22:05	22:55				
広岡-B	06:59	07:52	08:27	08:53	-	10:43	-	12:02	13:22	-	14:30	-	15:07	16:15	16:32	17:39	18:35	19:57	20:07	20:22	20:42	21:02	21:22	21:42	22:07	22:57				
南新保口-B	-	-	-	-	10:01	-	11:06	-	-	13:41	-	14:51	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
上諸江-B	-	-	-	-	10:03	-	11:08	-	-	13:43	-	14:53	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
諸江町小学校前-B	-	-	-	-	10:04	-	11:09	-	-	13:44	-	14:54	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
北安江-B	-	-	-	-	10:05	-	11:10	-	-	13:45	-	14:55	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
金沢駅西口降車	07:01	07:54	08:30	08:55	10:11	10:45	11:16	12:04	13:24	13:51	14:32	15:01	15:09	16:17	16:34	17:41	18:39	19:59	20:10	20:25	20:44	21:05	21:24	21:45	22:09	23:00				
金沢駅西口【５】	07:01			08:55		10:45		12:04	13:24		14:32		15:09	16:17	16:34	17:41	18:39	19:59			20:44		21:24		22:09					
広岡口（中橋方向）	07:03			08:57		10:47		12:06	13:26		14:34		15:11	16:19	16:36	17:43	18:41	20:01			20:46		21:26		22:11					
中橋-B	07:04			08:58		10:48		12:07	13:27		14:35		15:12	16:20	16:37	17:44	18:42	20:02			20:47		21:27		22:12					
六枚町（こんや湯前）	07:06			09:00		10:50		12:09	13:29		14:37		15:14	16:22	16:39	17:46	18:44	20:04			20:49		21:29		22:14					
武蔵ヶ辻（近江町市場前）	07:08			09:02		10:52		12:11	13:31		14:39		15:16	16:24	16:41	17:48	18:46	20:06			20:51		21:31		22:16					
南町-A	07:09			09:04		10:54		12:13	13:33		14:41		15:18	16:26	16:43	17:50	18:48	20:07			20:52		21:32		22:17					
香林坊（アトリオ前）	07:11			09:06		10:56		12:15	13:35		14:43		15:20	16:28	16:45	17:52	18:50	20:09			20:54		21:34		22:19					
片町（パシオン前）	07:14			09:09		10:59		12:18	13:38		14:46		15:23	16:31	16:48	17:55	18:53	20:12			20:57		21:37		22:22					
広小路（有松方向）	07:16			09:11		11:01		12:20	13:40		14:48		15:25	16:33	16:50	17:57	18:55	20:14			20:59		21:39		22:24					
野町駅-B	07:25			09:21		11:11		12:30	13:50		14:58		15:35	16:43	17:00	18:07	19:05	20:22			21:08		21:48		22:33					
