始発停留所	野町駅-B	野町駅-B	金沢駅西口【６】	金沢駅西口【６】	野町駅-B	金沢駅西口【６】	野町駅-B	金沢駅西口【６】	野町駅-B	野町駅-B	金沢駅西口【６】	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B				
始発時間	07:51	08:13	08:35	08:45	09:26	09:40	10:40	10:45	12:00	12:40	13:20	14:00	15:10	16:19	17:09	17:44	18:38	19:54	21:23	22:01	22:38				
終点時間	08:31	08:53	08:50	08:55	10:04	09:55	11:18	11:00	12:38	13:18	13:35	14:38	15:48	16:57	17:47	18:24	19:18	20:29	21:56	22:34	23:11				
終点停留所	中央病院前	中央病院前	中央病院前	県庁前-D	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	中央病院前	県庁前-D	県庁前-D	県庁前-D				
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				
野町駅-B	07:51	08:13			09:26		10:40		12:00	12:40		14:00	15:10	16:19	17:09	17:44	18:38	19:54	21:23	22:01	22:38				
広小路（有松から）	07:53	08:15			09:28		10:42		12:02	12:42		14:02	15:12	16:21	17:11	17:46	18:40	19:56	21:25	22:03	22:40				
片町（ラブロ前）	07:56	08:18			09:31		10:45		12:05	12:45		14:05	15:15	16:24	17:14	17:49	18:43	19:59	21:28	22:06	22:43				
香林坊（日銀前）	07:57	08:19			09:32		10:46		12:06	12:46		14:06	15:16	16:25	17:15	17:50	18:44	20:00	21:29	22:07	22:44				
南町-B	07:59	08:21			09:33		10:47		12:07	12:47		14:07	15:17	16:26	17:16	17:52	18:46	20:01	21:30	22:08	22:45				
武蔵ヶ辻（エムザ前）	08:01	08:23			09:35		10:49		12:09	12:49		14:09	15:19	16:28	17:18	17:54	18:48	20:03	21:32	22:10	22:47				
武蔵ヶ辻（スカイ前）	08:01	08:23			09:35		10:49		12:09	12:49		14:09	15:19	16:28	17:18	17:54	18:48	20:03	21:32	22:10	22:47				
六枚町（金石方向）	08:04	08:26			09:38		10:52		12:12	12:52		14:12	15:22	16:31	17:21	17:57	18:51	20:06	21:35	22:13	22:50				
広岡口（朱鷺の苑前）	08:06	08:28			09:40		10:54		12:14	12:54		14:14	15:24	16:33	17:23	17:59	18:53	20:08	21:37	22:15	22:52				
金沢駅西口降車	08:11	08:33			09:44		10:58		12:18	12:58		14:18	15:28	16:37	17:27	18:04	18:58	20:12	21:41	22:19	22:56				
金沢駅西口【６】	08:11	08:33	08:35	08:45	09:44	09:40	10:58	10:45	12:18	12:58	13:20	14:18	15:28	16:37	17:27	18:04	18:58	20:12	21:41	22:19	22:56				
広岡-A	08:13	08:35	-	08:47	09:46	-	11:00	-	12:20	13:00	-	14:20	15:30	16:39	17:29	18:06	19:00	20:14	21:43	22:21	22:58				
西念南-A	08:14	08:36	-	08:48	09:47	-	11:01	-	12:21	13:01	-	14:21	15:31	16:40	17:30	18:07	19:01	20:15	21:44	22:22	22:59				
西念西-A	08:15	08:37	-	08:49	09:48	-	11:02	-	12:22	13:02	-	14:22	15:32	16:41	17:31	18:08	19:02	20:16	21:45	22:23	23:00				
駅西合庁前（西念南から）	08:16	08:38	-	08:50	09:49	-	11:03	-	12:23	13:03	-	14:23	15:33	16:42	17:32	18:09	19:03	20:17	21:46	22:24	23:01				
県庁前-D	-	-	-	08:55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:56	22:34	23:11				
県庁前-A	08:19	08:41	-		09:52	-	11:06	-	12:26	13:06	-	14:26	15:36	16:45	17:35	18:12	19:06	20:20							
北安江-A	-	-	08:37		-	09:42	-	10:47	-	-	13:22	-	-	-	-	-	-	-							
諸江町小学校前-A	-	-	08:38		-	09:43	-	10:48	-	-	13:23	-	-	-	-	-	-	-							
上諸江-A	-	-	08:39		-	09:44	-	10:49	-	-	13:24	-	-	-	-	-	-	-							
南新保口-A	-	-	08:41		-	09:46	-	10:51	-	-	13:26	-	-	-	-	-	-	-							
中央病院前	08:31	08:53	08:50		10:04	09:55	11:18	11:00	12:38	13:18	13:35	14:38	15:48	16:57	17:47	18:24	19:18	20:29							
