始発停留所	瀬女-A				
始発時間	06:33				
終点時間	07:55				
終点停留所	錦丘高校前（窪方向）				
備考	学期休み期間、運休				
瀬女-A	06:33				
瀬戸野	06:34				
木滑新	06:35				
上木滑-C	06:36				
白山下	06:37				
河原山	06:38				
三ツ屋野	06:40				
西佐良	06:42				
上吉谷	06:43				
下吉谷	06:45				
釜清水	06:49				
小学校前	06:51				
上野	06:52				
下野	06:53				
若原	06:54				
大日川	06:55				
上河合	06:56				
加賀河合	06:57				
服部	06:58				
瀬木野	06:59				
ファミール鳥越-B	07:00				
広瀬	07:01				
中島	07:02				
南白山町	07:03				
石川県浄水場口	07:04				
白山町中	07:04				
白山町	07:05				
一の宮-B	07:06				
今町-B	07:07				
白山青年の家前-B	07:08				
鶴来本町-B	07:09				
鶴来駅-C	07:13				
白山警察署鶴来庁舎前-B	07:14				
白山郷公園前-C	07:15				
春の木	07:17				
中村	07:18				
西の村	07:19				
日向団地-B	07:21				
七原町-B	07:23				
深瀬新町-B	07:24				
富光寺住宅前	07:26				
百々鶴荘前-B	07:27				
西上林-D	07:29				
中林２丁目	07:30				
常盤園前	07:32				
明倫高校前（三納方向）	07:34				
三納町-B	07:35				
矢作北-B	07:37				
額新保一丁目-B	07:38				
額新町-B	07:39				
光が丘口（額住宅駅から）	07:41				
扇台小学校前-B	07:42				
扇が丘-B	07:43				
金沢工業大学（四十万から）	07:44				
三馬日赤病院前-B	07:45				
錦丘高校前（窪方向）	07:55				
