始発停留所	錦丘高校前（窪から）	錦丘高校前（窪から）			
始発時間	17:10	19:25			
終点時間	18:25	20:40			
終点停留所	瀬女-A	瀬女-A			
備考	学期休み期間、運休	学期休み期間、運休			
錦丘高校前（窪から）	17:10	19:25			
三馬日赤病院前-A	17:12	19:27			
金沢工業大学（四十万方向）	17:13	19:28			
扇が丘-A	17:14	19:29			
扇台小学校前-A	17:15	19:30			
光が丘口（額住宅駅方向）	17:16	19:31			
額新町-A	17:18	19:33			
額新保一丁目-A	17:19	19:34			
矢作北-A	17:20	19:35			
三納町-A	17:22	19:37			
明倫高校前（長竹方向）	17:23	19:38			
常盤園前	17:25	19:40			
中林２丁目	17:27	19:42			
西上林-D	17:28	19:43			
百々鶴荘前-A	17:30	19:45			
富光寺住宅前	17:31	19:46			
深瀬新町-A	17:33	19:48			
七原町-A	17:34	19:49			
日向団地-A	17:36	19:51			
西の村	17:38	19:53			
中村	17:39	19:54			
春の木	17:40	19:55			
白山郷公園前-C	17:42	19:57			
白山警察署鶴来庁舎前-A	17:43	19:58			
鶴来駅-C	17:45	20:00			
鶴来本町-A	17:47	20:02			
白山青年の家前-A	17:48	20:03			
今町-A	17:49	20:04			
一の宮-A	17:51	20:06			
白山町	17:52	20:07			
白山町中	17:53	20:08			
石川県浄水場口	17:54	20:09			
南白山町	17:55	20:10			
中島	17:56	20:11			
口直海-B	17:58	20:13			
河内支所前	17:58	20:13			
ふじが丘-A	17:59	20:14			
下福岡	18:00	20:15			
上福岡	18:01	20:16			
きりの里	18:02	20:17			
江津	18:03	20:18			
吉岡	18:05	20:20			
黄門橋	18:06	20:21			
吉野工芸の里-A	18:07	20:22			
下吉野	18:08	20:23			
上吉野	18:10	20:25			
不老峡	18:11	20:26			
佐良	18:13	20:28			
瀬波橋	18:15	20:30			
市原	18:16	20:31			
下木滑	18:18	20:33			
上木滑-C	18:19	20:34			
木滑新	18:20	20:35			
瀬戸野	18:21	20:36			
瀬女-A	18:25	20:40			
