始発停留所	久川-A	久川-A			
始発時間	07:20	15:15			
終点時間	07:55	15:50			
終点停留所	門前-A	門前-A			
備考					
久川-A	07:20	15:15			
うつろ口-A	07:21	15:16			
馬渡-A	07:23	15:18			
馬渡農協前-A	07:24	15:19			
滝町-A	07:26	15:21			
清沢口-A	07:27	15:22			
渡瀬口-A	07:29	15:24			
上馬場-A	07:30	15:25			
下馬場-A	07:31	15:26			
剱地東出-A	07:32	15:27			
剱地-A	07:33	15:28			
大泊-B	07:34	15:29			
腰細-B	07:35	15:30			
赤神-B	07:37	15:32			
藤の浜-B	07:39	15:34			
池田-A	07:40	15:35			
北川-A	07:42	15:37			
大口-A	07:44	15:39			
南黒島-A	07:45	15:40			
黒島-A	07:46	15:41			
道下栄町-A	07:47	15:42			
西道下-A	07:48	15:43			
道下-A	07:49	15:44			
東道下-A	07:50	15:45			
勝田口-A	07:51	15:46			
林業センター前-A	07:52	15:47			
総持寺前-A	07:53	15:48			
立町-B	07:54	15:49			
門前-A	07:55	15:50			
