始発停留所	門前-A	門前-A			
始発時間	14:40	17:40			
終点時間	15:15	18:15			
終点停留所	久川-A	久川-A			
備考					
門前-A	14:40	17:40			
立町-B	14:41	17:41			
総持寺前-B	14:42	17:42			
林業センター前-B	14:43	17:43			
勝田口-A	14:44	17:44			
東道下-B	14:45	17:45			
道下-B	14:46	17:46			
西道下-B	14:47	17:47			
道下栄町-B	14:48	17:48			
黒島-B	14:49	17:49			
南黒島-B	14:50	17:50			
大口-B	14:51	17:51			
北川-B	14:53	17:53			
池田-B	14:55	17:55			
藤の浜-B	14:56	17:56			
赤神-B	14:58	17:58			
腰細-B	15:00	18:00			
大泊-B	15:01	18:01			
剱地-B	15:02	18:02			
剱地東出-A	15:03	18:03			
下馬場-A	15:04	18:04			
上馬場-A	15:05	18:05			
渡瀬口-A	15:06	18:06			
清沢口-A	15:08	18:08			
滝町-A	15:09	18:09			
馬渡農協前-A	15:11	18:11			
馬渡-A	15:12	18:12			
うつろ口-A	15:14	18:14			
久川-A	15:15	18:15			
