始発停留所	辰口-A	辰口-A	辰口-A	辰口-A	辰口-A	辰口-A	辰口-A			
始発時間	07:15	07:20	09:10	11:05	13:40	16:00	17:45			
終点時間	07:55	08:00	09:45	11:40	14:15	16:40	18:25			
終点停留所	小松駅-E	小松駅-E	小松駅-E	小松駅-E	小松駅-E	小松駅-E	小松駅-E			
備考	冬期のみ運行	冬期間運休								
いしかわ動物園										
辰口-A	07:15	07:20	09:10	11:05	13:40	16:00	17:45			
辰口温泉	07:16	07:21	09:11	11:06	13:41	16:01	17:46			
辰口丘陵公園口-A	07:17	07:22	09:12	11:07	13:42	16:02	17:47			
緑ケ丘一丁目-B	07:18	07:23	09:13	11:08	13:43	16:03	17:48			
緑ケ丘四丁目-A	07:19	07:24	09:14	11:09	13:44	16:04	17:49			
辰口ハイタウン-A	07:19	07:24	09:14	11:09	13:44	16:04	17:49			
緑ケ丘九丁目-A	07:20	07:25	09:15	11:10	13:45	16:05	17:50			
緑ケ丘十丁目-A	07:21	07:26	09:16	11:11	13:46	16:06	17:51			
松が岡一丁目	07:22	07:27	09:17	11:12	13:47	16:07	17:52			
松が岡二丁目	07:23	07:28	09:18	11:13	13:48	16:08	17:53			
クアハウス九谷前-B	07:26	07:31	09:21	11:16	13:51	16:11	17:56			
泉台-A	07:27	07:32	09:22	11:17	13:52	16:12	17:57			
九谷温泉-A	07:28	07:33	09:23	11:18	13:53	16:13	17:58			
湯谷-B	07:29	07:34	09:24	11:19	13:54	16:14	17:59			
佐野公民館前-B	07:30	07:35	09:25	11:20	13:55	16:15	18:00			
佐野-B	07:31	07:36	09:26	11:21	13:56	16:16	18:01			
牛島	07:32	07:37	09:27	11:22	13:57	16:17	18:02			
末信-B	07:33	07:38	09:28	11:23	13:58	16:18	18:03			
寺井中央-F	07:34	07:39	09:29	11:24	13:59	16:19	18:04			
小長野-A	07:36	07:41	09:31	11:26	14:01	16:21	18:06			
あけぼの町-A	07:38	07:43	09:33	11:28	14:03	16:23	18:08			
平面-A	07:40	07:45	09:35	11:30	14:05	16:25	18:10			
南加賀保健福祉センター前-A	07:42	07:47	09:37	11:32	14:07	16:27	18:12			
園町-B	07:44	07:49	09:39	11:34	14:09	16:29	18:14			
小寺町-B	07:46	07:51	09:41	11:36	14:11	16:31	18:16			
横町-B	07:47	07:52	09:42	11:37	14:12	16:32	18:17			
京町-A	07:47	07:52	09:42	11:37	14:12	16:32	18:17			
西町-A	07:48	07:53	09:43	11:38	14:13	16:33	18:18			
竜助町（五三堂）	07:49	07:54	09:44	11:39	14:14	16:34	18:19			
小松駅-E	07:55	08:00	09:45	11:40	14:15	16:40	18:25			
