始発停留所	小松駅-C	小松駅-C	小松駅-C	小松駅-C	小松駅-C	小松駅-C				
始発時間	08:20	10:00	12:25	15:00	16:50	19:00				
終点時間	09:00	10:35	13:00	15:35	17:30	19:35				
終点停留所	辰口-B	辰口-B	辰口-B	辰口-B	辰口-B	辰口-B				
備考										
小松駅-C	08:20	10:00	12:25	15:00	16:50	19:00				
竜助町-B	08:21	10:01	12:26	15:01	16:51	19:01				
西町-B	08:22	10:02	12:27	15:02	16:52	19:02				
京町-B	08:23	10:03	12:28	15:03	16:53	19:03				
横町-A	08:24	10:04	12:29	15:04	16:54	19:04				
小寺町-A	08:26	10:06	12:31	15:06	16:56	19:06				
園町-A	08:27	10:07	12:32	15:07	16:57	19:07				
南加賀保健福祉センター前-B	08:29	10:09	12:34	15:09	16:59	19:09				
平面-B	08:31	10:11	12:36	15:11	17:01	19:11				
あけぼの町-B	08:32	10:12	12:37	15:12	17:02	19:12				
小長野-B	08:35	10:15	12:40	15:15	17:05	19:15				
寺井中央-E	08:37	10:17	12:42	15:17	17:07	19:17				
末信-A	08:38	10:18	12:43	15:18	17:08	19:18				
牛島	08:39	10:19	12:44	15:19	17:09	19:19				
佐野-A	08:40	10:20	12:45	15:20	17:10	19:20				
佐野公民館前-A	08:41	10:21	12:46	15:21	17:11	19:21				
湯谷-B	08:42	10:22	12:47	15:22	17:12	19:22				
九谷温泉-B	08:43	10:23	12:48	15:23	17:13	19:23				
泉台-B	08:44	10:24	12:49	15:24	17:14	19:24				
クアハウス九谷前-A	08:45	10:25	12:50	15:25	17:15	19:25				
松が岡二丁目	08:46	10:26	12:51	15:26	17:16	19:26				
松が岡一丁目	08:47	10:27	12:52	15:27	17:17	19:27				
緑ケ丘十丁目-B	08:48	10:28	12:53	15:28	17:18	19:28				
緑ケ丘九丁目-B	08:49	10:29	12:54	15:29	17:19	19:29				
辰口ハイタウン-B	08:50	10:30	12:55	15:30	17:20	19:30				
緑ケ丘四丁目-B	08:50	10:30	12:55	15:30	17:20	19:30				
緑ケ丘一丁目-B	08:51	10:31	12:56	15:31	17:21	19:31				
辰口丘陵公園口-B	08:52	10:32	12:57	15:32	17:22	19:32				
辰口温泉	08:53	10:33	12:58	15:33	17:23	19:33				
辰口-B	09:00	10:35	13:00	15:35	17:30	19:35				
いしかわ動物園										
