始発停留所	小松駅-C	小松駅-C	小松駅-C	小松駅-C	小松駅-C
始発時間	08:20	10:05	13:45	16:10	18:20
終点時間	09:00	10:45	14:25	16:50	18:55
終点停留所	いしかわ動物園	いしかわ動物園	いしかわ動物園	いしかわ動物園	辰口-B
備考					
小松駅-C	08:20	10:05	13:45	16:10	18:20
竜助町-B	08:21	10:06	13:46	16:11	18:21
西町-B	08:22	10:07	13:47	16:12	18:22
京町-B	08:23	10:08	13:48	16:13	18:23
横町-A	08:24	10:09	13:49	16:14	18:24
小寺町-A	08:26	10:11	13:51	16:16	18:26
園町-A	08:27	10:12	13:52	16:17	18:27
南加賀保健福祉センター前-B	08:29	10:14	13:54	16:19	18:29
平面-B	08:31	10:16	13:56	16:21	18:31
あけぼの町-B	08:32	10:17	13:57	16:22	18:32
小長野-B	08:35	10:20	14:00	16:25	18:35
寺井中央-E	08:37	10:22	14:02	16:27	18:37
末信-A	08:38	10:23	14:03	16:28	18:38
牛島	08:39	10:24	14:04	16:29	18:39
佐野-A	08:40	10:25	14:05	16:30	18:40
佐野公民館前-A	08:41	10:26	14:06	16:31	18:41
湯谷-B	08:42	10:27	14:07	16:32	18:42
九谷温泉-B	08:43	10:28	14:08	16:33	18:43
泉台-B	08:44	10:29	14:09	16:34	18:44
クアハウス九谷前-A	08:45	10:30	14:10	16:35	18:45
松が岡二丁目	08:46	10:31	14:11	16:36	18:46
松が岡一丁目	08:47	10:32	14:12	16:37	18:47
緑ケ丘十丁目-B	08:48	10:33	14:13	16:38	18:48
緑ケ丘九丁目-B	08:49	10:34	14:14	16:39	18:49
辰口ハイタウン-B	08:50	10:35	14:15	16:40	18:50
緑ケ丘四丁目-B	08:50	10:35	14:15	16:40	18:50
緑ケ丘一丁目-B	08:51	10:36	14:16	16:41	18:51
辰口丘陵公園口-B	08:52	10:37	14:17	16:42	18:52
辰口温泉	-	-	-	-	18:53
辰口-B	-	-	-	-	18:55
いしかわ動物園	09:00	10:45	14:25	16:50	
