始発停留所	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】				
始発時間	08:42	10:35	12:05	13:15	14:55	15:50	16:50	17:45	18:50	19:45	20:40				
終点時間	09:22	11:15	12:45	13:55	15:35	16:30	17:30	18:25	19:30	20:23	21:18				
終点停留所	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）				
備考															
金沢駅【９】	08:42	10:35	12:05	13:15	14:55	15:50	16:50	17:45	18:50	19:45	20:40				
リファーレ前-A	08:44	10:37	12:07	13:17	14:57	15:52	16:52	17:47	18:52	19:47	20:42				
武蔵ヶ辻（近江町市場前）	08:47	10:40	12:10	13:20	15:00	15:55	16:55	17:50	18:55	19:49	20:44				
南町-A	08:49	10:42	12:12	13:22	15:02	15:57	16:57	17:52	18:57	19:50	20:45				
香林坊（アトリオ前）	08:51	10:44	12:14	13:24	15:04	15:59	16:59	17:54	18:59	19:52	20:47				
片町（パシオン前）	08:54	10:47	12:17	13:27	15:07	16:02	17:02	17:57	19:02	19:55	20:50				
広小路（有松方向）	08:56	10:49	12:19	13:29	15:09	16:04	17:04	17:59	19:04	19:57	20:52				
野町-A	08:58	10:51	12:21	13:31	15:11	16:06	17:06	18:01	19:06	19:59	20:54				
泉一丁目-A	08:59	10:52	12:22	13:32	15:12	16:07	17:07	18:02	19:07	20:00	20:55				
泉二丁目-A	09:00	10:53	12:23	13:33	15:13	16:08	17:08	18:03	19:08	20:01	20:56				
有松（郵便局前）	09:01	10:54	12:24	13:34	15:14	16:09	17:09	18:04	19:09	20:02	20:57				
二万堂-A	09:02	10:55	12:25	13:35	15:15	16:10	17:10	18:05	19:10	20:03	20:58				
伏見橋（八日市方向）	09:04	10:57	12:27	13:37	15:17	16:12	17:12	18:07	19:12	20:05	21:00				
押野六丁目-A	09:06	10:59	12:29	13:39	15:19	16:14	17:14	18:09	19:14	20:07	21:02				
本押野-A	09:08	11:01	12:31	13:41	15:21	16:16	17:16	18:11	19:16	20:09	21:04				
八日市	09:10	11:03	12:33	13:43	15:23	16:18	17:18	18:13	19:18	20:11	21:06				
八日市住宅-B	09:11	11:04	12:34	13:44	15:24	16:19	17:19	18:14	19:19	20:12	21:07				
野代-A	09:12	11:05	12:35	13:45	15:25	16:20	17:20	18:15	19:20	20:13	21:08				
御経塚	09:13	11:06	12:36	13:46	15:26	16:21	17:21	18:16	19:21	20:14	21:09				
押野中央-A	-	-	-	-	-	-	-	-	-	-	-				
押野北-A	-	-	-	-	-	-	-	-	-	-	-				
八日市１丁目	-	-	-	-	-	-	-	-	-	-	-				
押越-A	-	-	-	-	-	-	-	-	-	-	-				
野代２丁目	-	-	-	-	-	-	-	-	-	-	-				
野々市駅（ＪＲ野々市駅南口ロータリー）	09:22	11:15	12:45	13:55	15:35	16:30	17:30	18:25	19:30	20:23	21:18				
