始発停留所	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	
始発時間	08:25	08:50	09:15	09:55	10:20	10:50	11:20	12:25	13:35	14:40	15:20	16:05	17:05	17:43	18:10	18:40	19:40	20:35	21:00	
終点時間	09:05	09:30	09:55	10:35	11:00	11:30	12:00	13:05	14:15	15:20	16:00	16:45	17:45	18:23	18:50	19:20	20:18	21:13	21:38	
終点停留所	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	
備考	ノンステップバス			ノンステップバス																
金沢駅【９】	08:25	08:50	09:15	09:55	10:20	10:50	11:20	12:25	13:35	14:40	15:20	16:05	17:05	17:43	18:10	18:40	19:40	20:35	21:00	
リファーレ前-A	08:27	08:52	09:17	09:57	10:22	10:52	11:22	12:27	13:37	14:42	15:22	16:07	17:07	17:45	18:12	18:42	19:42	20:37	21:02	
武蔵ヶ辻（近江町市場前）	08:30	08:55	09:20	10:00	10:25	10:55	11:25	12:30	13:40	14:45	15:25	16:10	17:10	17:48	18:15	18:45	19:44	20:39	21:04	
南町-A	08:32	08:57	09:22	10:02	10:27	10:57	11:27	12:32	13:42	14:47	15:27	16:12	17:12	17:50	18:17	18:47	19:45	20:40	21:05	
香林坊（アトリオ前）	08:34	08:59	09:24	10:04	10:29	10:59	11:29	12:34	13:44	14:49	15:29	16:14	17:14	17:52	18:19	18:49	19:47	20:42	21:07	
片町（パシオン前）	08:37	09:02	09:27	10:07	10:32	11:02	11:32	12:37	13:47	14:52	15:32	16:17	17:17	17:55	18:22	18:52	19:50	20:45	21:10	
