始発停留所	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）
始発時間	06:30	07:10	07:30	08:15	08:35	09:15	10:15	11:10	12:10	13:10	14:00	15:10	15:55	16:20	17:35	18:05	18:40	19:55	20:50	21:25
終点時間	07:03	07:43	08:03	08:48	09:03	09:46	10:46	11:42	12:41	13:42	14:31	15:42	16:26	16:52	18:06	18:37	19:11	20:22	21:18	21:53
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考												ノンステップバス								
金沢工業大学（正門前）	06:30	07:10	07:30	08:15	08:35	09:15	10:15	11:10	12:10	13:10	14:00	15:10	15:55	16:20	17:35	18:05	18:40	19:55	20:50	21:25
三馬日赤病院前-B	06:32	07:12	07:32	08:17	08:37	-	-	11:12	-	13:12	-	15:12	-	16:22	-	18:07	-	-	20:52	21:27
錦丘高校前（窪方向）	06:34	07:14	07:34	08:19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
錦丘高校前（四十万から）	-	-	-	-	08:39	-	-	11:14	-	13:14	-	15:14	-	16:24	-	18:09	-	-	20:54	21:29
窪（市内方向）	06:36	07:16	07:36	08:21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
円光寺（始発）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
円光寺（市内方向）	06:37	07:17	07:37	08:22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
泉丘高校前-B	06:39	07:19	07:39	08:24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
泉が丘（有松方向）	06:41	07:21	07:41	08:26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
西三馬（市内方向）	-	-	-	-	-	09:16	10:16	-	12:11	-	14:01	-	15:56	-	17:36	-	18:41	19:56	-	-
久安二丁目-B	-	-	-	-	-	09:17	10:17	-	12:12	-	14:02	-	15:57	-	17:37	-	18:42	19:57	-	-
久安大橋-B	-	-	-	-	-	09:18	10:18	-	12:13	-	14:03	-	15:58	-	17:38	-	18:43	19:58	-	-
有松四丁目-B	-	-	-	-	-	09:19	10:19	-	12:14	-	14:04	-	15:59	-	17:39	-	18:44	19:59	-	-
伏見台（市内方向）	-	-	-	-	08:40	-	-	11:15	-	13:15	-	15:15	-	16:25	-	18:10	-	-	20:55	21:30
寺地-B	-	-	-	-	08:41	-	-	11:16	-	13:16	-	15:16	-	16:26	-	18:11	-	-	20:56	21:31
上有松-B	-	-	-	-	08:42	09:20	10:20	11:17	12:15	13:17	14:05	15:17	16:00	16:27	17:40	18:12	18:45	20:00	20:57	21:32
有松（寺地から）	-	-	-	-	08:43	09:21	10:21	11:18	12:16	13:18	14:06	15:18	16:01	16:28	17:41	18:13	18:46	20:01	20:58	21:33
有松（泉が丘から）	06:42	07:22	07:42	08:27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
泉二丁目-B	06:43	07:23	07:43	08:28	08:44	09:23	10:23	11:20	12:18	13:20	14:08	15:20	16:03	16:30	17:43	18:15	18:48	20:02	20:59	21:34
泉一丁目-B	06:44	07:24	07:44	08:29	08:45	09:24	10:24	11:21	12:19	13:21	14:09	15:21	16:04	16:31	17:44	18:16	18:49	20:03	21:00	21:35
野町-B	06:45	07:25	07:45	08:30	08:46	09:25	10:25	11:22	12:20	13:22	14:10	15:22	16:05	16:32	17:45	18:17	18:50	20:04	21:01	21:36
広小路（有松から）	06:46	07:26	07:46	08:31	08:47	09:27	10:27	11:24	12:22	13:24	14:12	15:24	16:07	16:34	17:47	18:19	18:52	20:05	21:02	21:37
片町（ラブロ前）	06:48	07:28	07:48	08:33	08:49	09:31	10:31	11:28	12:26	13:28	14:16	15:28	16:11	16:38	17:51	18:23	18:56	20:07	21:04	21:39
香林坊（日銀前）	06:49	07:29	07:49	08:34	08:50	09:32	10:32	11:29	12:27	13:29	14:17	15:29	16:12	16:39	17:52	18:24	18:57	20:08	21:05	21:40
南町-B	06:50	07:30	07:50	08:35	08:51	09:34	10:34	11:31	12:29	13:31	14:19	15:31	16:14	16:41	17:54	18:26	18:59	20:09	21:06	21:41
武蔵ヶ辻（エムザ前）	06:52	07:32	07:52	08:37	08:53	09:36	10:36	11:33	12:31	13:33	14:21	15:33	16:16	16:43	17:56	18:28	19:01	20:11	21:08	21:43
リファーレ前-B	06:54	07:34	07:54	08:39	08:55	09:38	10:38	11:35	12:33	13:35	14:23	15:35	16:18	16:45	17:58	18:30	19:03	20:13	21:10	21:45
金沢駅【降車場】	07:03	07:43	08:03	08:48	09:03	09:46	10:46	11:42	12:41	13:42	14:31	15:42	16:26	16:52	18:06	18:37	19:11	20:22	21:18	21:53
