始発停留所	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】			
始発時間	07:03	07:20	07:35	07:45	08:10	08:20	08:40	08:46	09:12	10:07	11:07	12:07	13:02	13:32	14:07	15:32	16:52	17:22	17:47	18:22	19:10	20:10			
終点時間	07:38	07:58	08:17	08:27	08:52	09:02	09:19	09:17	09:51	10:39	11:39	12:38	13:34	14:03	14:38	16:03	17:24	17:53	18:22	18:57	19:45	20:42			
終点停留所	円光寺-D	錦丘高校前（窪から）	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A			
備考		ノンステップバス	ノンステップバス	ノンステップバス				ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス						ノンステップバス						
金沢駅【８】	07:03	07:20	07:35	07:45	08:10	08:20	08:40	08:46	09:12	10:07	11:07	12:07	13:02	13:32	14:07	15:32	16:52	17:22	17:47	18:22	19:10	20:10			
リファーレ前-A	07:05	07:22	07:37	07:47	08:12	08:22	08:42	08:48	09:14	10:09	11:09	12:09	13:04	13:34	14:09	15:34	16:54	17:24	17:49	18:24	19:12	20:12			
武蔵ヶ辻（近江町市場前）	07:07	07:24	07:40	07:50	08:15	08:25	08:45	08:51	09:17	10:12	11:12	12:12	13:07	13:37	14:12	15:37	16:57	17:27	17:52	18:27	19:15	20:14			
南町-A	07:08	07:25	07:42	07:52	08:17	08:27	08:47	08:53	09:19	10:14	11:14	12:14	13:09	13:39	14:14	15:39	16:59	17:29	17:54	18:29	19:17	20:15			
香林坊（アトリオ前）	07:10	07:27	07:44	07:54	08:19	08:29	08:49	08:55	09:21	10:16	11:16	12:16	13:11	13:41	14:16	15:41	17:01	17:31	17:56	18:31	19:19	20:17			
片町（パシオン前）	07:13	07:30	07:47	07:57	08:22	08:32	08:52	08:58	09:24	10:19	11:19	12:19	13:14	13:44	14:19	15:44	17:04	17:34	17:59	18:34	19:22	20:20			
