始発停留所	高浜-C	高浜-C	高浜-C		
始発時間	13:35	17:05	18:25		
終点時間	14:03	17:33	18:53		
終点停留所	高浜-E	高浜-E	高浜-E		
備考					
高浜-C	13:35	17:05	18:25		
末吉-A	13:37	17:07	18:27		
清水-A	13:38	17:08	18:28		
堀松南-A	13:39	17:09	18:29		
吉田-B	13:41	17:11	18:31		
梨谷-B	13:42	17:12	18:32		
出雲	13:44	17:14	18:34		
親谷	13:45	17:15	18:35		
安津見-B	13:47	17:17	18:37		
倉垣口	13:48	17:18	18:38		
倉垣-A	13:49	17:19	18:39		
矢駄上野	13:50	17:20	18:40		
矢駄小林	13:51	17:21	18:41		
矢駄宮の前	13:52	17:22	18:42		
矢駄中野-A	13:53	17:23	18:43		
雨谷	13:55	17:25	18:45		
福井口	13:56	17:26	18:46		
志賀やすらぎ荘前-B	13:57	17:27	18:47		
宿女	13:58	17:28	18:48		
大島入口	13:59	17:29	18:49		
福野	14:00	17:30	18:50		
高浜小学校前-B	14:01	17:31	18:51		
大念寺-A	14:02	17:32	18:52		
高浜-E	14:03	17:33	18:53		
