始発停留所	北大太陽が丘-B	北大太陽が丘-B	北陸大学薬学部-B	北大太陽が丘-B	北大太陽が丘-B	北陸大学薬学部-B	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B		
始発時間	07:18	07:50	08:23	09:40	11:10	12:37	13:50	15:05	16:00	16:52	17:52	19:00	20:00		
終点時間	07:58	08:33	09:16	10:20	11:50	13:27	14:30	15:45	16:40	17:32	18:35	19:40	20:40		
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】		
備考															
北陸大学薬学部-B			08:23			12:37									
北陸大学松雲会館前（市内方向）			08:26			12:40									
中村（北大薬学部から）			08:27			12:41									
北大太陽が丘-B	07:18	07:50	08:31	09:40	11:10	12:45	13:50	15:05	16:00	16:52	17:52	19:00	20:00		
北大ひまわりの家-B	07:19	07:51	08:32	09:41	11:11	12:46	13:51	15:06	16:01	16:53	17:53	19:01	20:01		
北陸大学通り-B	07:20	07:52	08:33	09:42	11:12	12:47	13:52	15:07	16:02	16:54	17:54	19:02	20:02		
太陽が丘ニュータウン-B	07:22	07:54	08:35	09:44	11:14	12:49	13:54	15:09	16:04	16:56	17:56	19:04	20:04		
加賀田上-B	07:24	07:56	08:37	09:46	11:16	12:51	13:56	15:11	16:06	16:58	17:58	19:06	20:06		
下田上-B	07:25	07:57	08:38	09:47	11:17	12:52	13:57	15:12	16:07	16:59	17:59	19:07	20:07		
山環田上-D	07:26	07:58	08:39	09:48	11:18	12:53	13:58	15:13	16:08	17:00	18:00	19:08	20:08		
旭町一丁目（旭町方向）	07:27	07:59	08:40	09:49	11:19	12:54	13:59	15:14	16:09	17:01	18:01	19:09	20:09		
旭町住宅-B	07:28	08:00	08:41	09:50	11:20	12:55	14:00	15:15	16:10	17:02	18:02	19:10	20:10		
旭町（北國銀行前）	07:30	08:02	08:43	09:52	11:22	12:57	14:02	15:17	16:12	17:04	18:04	19:12	20:12		
旭町（市内方向）	07:30	08:02	08:43	09:52	11:22	12:57	14:02	15:17	16:12	17:04	18:04	19:12	20:12		
旭町口-B	07:30	08:02	08:43	09:52	11:22	12:57	14:02	15:17	16:12	17:04	18:04	19:12	20:12		
田井町-B	07:31	08:03	08:44	09:53	11:23	12:58	14:03	15:18	16:13	17:05	18:05	19:13	20:13		
桜町-B	07:32	08:04	08:45	09:54	11:24	12:59	14:04	15:19	16:14	17:06	18:06	19:14	20:14		
暁町-B	07:33	08:05	08:46	09:55	11:25	13:00	14:05	15:20	16:15	17:07	18:07	19:15	20:15		
横山町-B	07:34	08:06	08:47	09:56	11:26	13:01	14:06	15:21	16:16	17:08	18:08	19:16	20:16		
小将町-B	07:35	08:07	08:48	09:57	11:27	13:02	14:07	15:22	16:17	17:09	18:09	19:17	20:17		
兼六園下（石川門）	07:37	08:09	08:50	09:59	11:29	13:04	14:09	15:24	16:19	17:11	18:11	19:19	20:19		
広坂（金沢２１世紀美術館前）	07:39	08:11	08:52	10:01	11:31	13:06	14:11	15:26	16:21	17:13	18:13	19:21	20:21		
香林坊（日銀前）	07:40	08:12	08:53	10:02	11:32	13:07	14:12	15:27	16:22	17:14	18:14	19:22	20:22		
南町-B	07:41	08:14	08:55	10:03	11:33	13:08	14:13	15:28	16:23	17:15	18:16	19:23	20:23		
武蔵ヶ辻（エムザ前）	07:43	08:16	08:57	10:05	11:35	13:10	14:15	15:30	16:25	17:17	18:18	19:25	20:25		
リファーレ前-B	07:44	08:17	08:58	10:06	11:36	13:11	14:16	15:31	16:26	17:18	18:19	19:26	20:26		
金沢駅【降車場】	07:58	08:33	09:16	10:20	11:50	13:27	14:30	15:45	16:40	17:32	18:35	19:40	20:40		
