始発停留所	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】			
始発時間	08:00	08:45	10:25	11:40	12:45	14:20	15:13	16:05	17:05	18:15	19:16	21:00			
終点時間	08:53	09:28	11:05	12:30	13:25	15:00	15:53	16:45	17:48	18:58	19:56	21:40			
終点停留所	北陸大学薬学部（降車）	北大太陽が丘-B	北大太陽が丘-B	北陸大学薬学部（降車）	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B			
備考															
金沢駅【６】	08:00	08:45	10:25	11:40	12:45	14:20	15:13	16:05	17:05	18:15	19:16	21:00			
リファーレ前-A	08:02	08:47	10:27	11:42	12:47	14:22	15:15	16:07	17:07	18:17	19:18	21:02			
武蔵ヶ辻（近江町市場前）	08:05	08:50	10:30	11:45	12:50	14:25	15:18	16:10	17:10	18:20	19:21	21:04			
南町-A	08:07	08:52	10:32	11:47	12:52	14:27	15:20	16:12	17:12	18:22	19:23	21:05			
香林坊（アトリオ前）	08:09	08:54	10:34	11:49	12:54	14:29	15:22	16:14	17:14	18:24	19:25	21:07			
香林坊（中央公園前）	08:09	08:54	10:34	11:49	12:54	14:29	15:22	16:14	17:14	18:24	19:25	21:07			
広坂（しいのき迎賓館前）	08:10	08:55	10:35	11:50	12:55	14:30	15:23	16:15	17:15	18:25	19:26	21:08			
兼六園下（北鉄車庫前）	08:12	08:57	10:37	11:52	12:57	14:32	15:25	16:17	17:17	18:27	19:28	21:10			
小将町-A	08:13	08:58	10:38	11:53	12:58	14:33	15:26	16:18	17:18	18:28	19:29	21:11			
横山町-A	08:14	08:59	10:39	11:54	12:59	14:34	15:27	16:19	17:19	18:29	19:30	21:12			
暁町-A	08:15	09:00	10:40	11:55	13:00	14:35	15:28	16:20	17:20	18:30	19:31	21:13			
桜町-A	08:16	09:01	10:41	11:56	13:01	14:36	15:29	16:21	17:21	18:31	19:32	21:14			
田井町-A	08:17	09:02	10:42	11:57	13:02	14:37	15:30	16:22	17:22	18:32	19:33	21:15			
旭町口-A	08:18	09:03	10:43	11:58	13:03	14:38	15:31	16:23	17:23	18:33	19:34	21:16			
旭町（メモリアルホール前）	08:19	09:04	10:44	11:59	13:04	14:39	15:32	16:24	17:24	18:34	19:35	21:17			
旭町住宅-A	08:21	09:06	10:46	12:01	13:06	14:41	15:34	16:26	17:26	18:36	19:37	21:19			
旭町一丁目（旭町から）	08:22	09:07	10:47	12:02	13:07	14:42	15:35	16:27	17:27	18:37	19:38	21:20			
山環田上-C	08:24	09:09	10:49	12:04	13:09	14:44	15:37	16:29	17:29	18:39	19:40	21:22			
下田上-A	08:25	09:10	10:50	12:05	13:10	14:45	15:38	16:30	17:30	18:40	19:41	21:23			
加賀田上-A	08:27	09:12	10:52	12:07	13:12	14:47	15:40	16:32	17:32	18:42	19:43	21:25			
太陽が丘ニュータウン-A	08:29	09:14	10:54	12:09	13:14	14:49	15:42	16:34	17:34	18:44	19:45	21:27			
北陸大学通り-A	08:30	09:15	10:55	12:10	13:15	14:50	15:43	16:35	17:35	18:45	19:46	21:28			
北大ひまわりの家-A	08:31	09:16	10:56	12:11	13:16	14:51	15:44	16:36	17:36	18:46	19:47	21:29			
北大太陽が丘-B	08:32	09:28	11:05	12:12	13:25	15:00	15:53	16:45	17:48	18:58	19:56	21:40			
中村（北大薬学部方向）	08:35			12:15											
北陸大学松雲会館前（薬学部方向）	08:36			12:16											
北陸大学薬学部（降車）	08:53			12:30											
