始発停留所	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	県庁前-B	金沢駅【６】			
始発時間	06:25	07:52	09:40	13:15	15:58	17:45	19:00			
終点時間	07:14	08:46	10:17	14:09	16:52	18:49	19:49			
終点停留所	湯谷原-B	医王山スポーツセンター前-A	太陽が丘ニュータウン-B	医王山スポーツセンター前-A	医王山スポーツセンター前-A	湯谷原-B	湯谷原-B			
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				
県庁前-B						17:45				
駅西合庁前（西念南方向）						17:48				
西念西-B						17:49				
西念南-B						17:50				
広岡-B						17:52				
金沢駅西口降車						17:56				
金沢駅西口【５】						17:56				
金沢駅東通り-B						17:58				
金沢駅【６】	06:25	07:52	09:40	13:15	15:58	18:02	19:00			
リファーレ前-A	06:27	07:54	09:42	13:17	16:00	18:04	19:02			
武蔵ヶ辻（近江町市場前）	06:29	07:57	09:45	13:20	16:03	18:07	19:05			
南町-A	06:30	07:59	09:47	13:22	16:05	18:09	19:07			
香林坊（アトリオ前）	06:32	08:01	09:49	13:24	16:07	18:11	19:09			
香林坊（中央公園前）	06:32	08:01	09:49	13:24	16:07	18:11	19:09			
広坂（しいのき迎賓館前）	06:33	08:02	09:50	13:25	16:08	18:12	19:10			
兼六園下（県駐車場前）	06:35	08:04	09:52	13:27	16:10	18:14	19:12			
出羽町-A	06:38	08:07	09:55	13:30	16:13	18:17	19:15			
石引町-A	06:39	08:08	09:56	13:31	16:14	18:18	19:16			
小立野-A	06:40	08:10	09:57	13:33	16:16	18:19	19:17			
如来寺前（金商方向）	-	08:11	-	-	-	-	-			
如来寺前（旭町方向）	06:42	-	09:59	13:35	16:18	18:21	19:19			
田井町-A	06:44	-	10:01	13:36	16:19	18:23	19:21			
旭町口-A	06:45	-	10:02	13:37	16:20	18:24	19:22			
旭町（メモリアルホール前）	06:46	-	10:03	13:38	16:21	18:25	19:23			
旭町住宅-A	06:47	-	10:04	13:39	16:22	18:26	19:24			
金商高校前	-	08:13	-	-	-	-	-			
小立野２丁目	-	08:14	-	-	-	-	-			
旭町一丁目（小立野から）	-	08:15	-	-	-	-	-			
旭町一丁目（旭町から）	06:48	-	10:05	13:40	16:23	18:27	19:25			
山環田上-C	06:50	08:17	10:07	13:42	16:25	18:29	19:27			
下田上-A	06:51	08:18	10:08	13:43	16:26	18:30	19:28			
加賀田上-A	06:52	08:19	10:09	13:44	16:27	18:31	19:29			
太陽が丘ニュータウン-B	06:54	08:21	10:17	13:46	16:29	18:33	19:31			
俵-B	06:59	08:26		13:51	16:34	18:38	19:36			
俵小学校前-A	07:00	08:27		13:52	16:35	18:39	19:37			
医王口（市内側）	07:01	08:28		13:53	16:36	18:40	19:38			
別所口-A	07:02	08:29		13:54	16:37	18:41	19:39			
小豆沢口-B	07:03	08:30		13:55	16:38	18:42	19:40			
湯谷原-B	07:14	08:31		13:56	16:39	18:49	19:49			
キゴ山ふれあいの里前		08:33		13:58	16:41					
医王山スキー場前-B		08:34		13:59	16:42					
医王山スポーツセンター前-A		08:46		14:09	16:52					
