始発停留所	山中温泉-A				
始発時間	07:35				
終点時間	08:12				
終点停留所	大聖寺実業高校前				
備考					
山中温泉-A	07:35				
桂木町-B	07:36				
塚谷-B	07:37				
上原-B	07:38				
旭町-B	07:39				
長谷田-B	07:40				
中田-B	07:41				
二天-B	07:42				
淀町-B	07:43				
河南-B	07:44				
山代温泉南口-B	07:46				
山代西口-B	07:47				
幸町-B	07:48				
山代東口（１）	07:49				
山代温泉-A	07:50				
幸町-C	07:51				
山代小学校前-A	07:52				
保賀-A	07:53				
黒瀬-B	07:55				
黒瀬西-B	07:56				
上河崎-B	07:58				
下河崎-B	07:59				
南郷-B	08:00				
南郷公民館前-B	08:01				
菅生町-B	08:03				
弓町-B	08:04				
南町（加賀）-B	08:05				
大聖寺駅-E	-				
大聖寺駅-A	08:09				
大聖寺実業高校前	08:12				
南町（加賀）-A					
越前町-C					
市民病院-A					
越前町-A					
関町-A					
錦町-A					
錦城ケ丘-A					
三ツ					
三木-A					
永井新					
永井					
永井西口					
瀬越口					
吉崎					
上木					
上木出村					
加賀市青年の家					
瀬越					
塩屋					
