始発停留所	山中温泉-A	山代東口（１）	山中温泉-A	山中温泉-A	大聖寺駅-A	大聖寺駅-A	山代東口（１）	大聖寺駅-A	大聖寺駅-A	大聖寺駅-A
始発時間	07:35	07:40	08:32	10:20	11:15	13:30	15:10	17:00	18:15	18:45
終点時間	08:12	08:03	09:11	10:59	11:34	13:49	15:28	17:16	18:31	19:01
終点停留所	大聖寺実業高校前	大聖寺実業高校前	市民病院-A	市民病院-A	塩屋	塩屋	大聖寺駅-E	塩屋	塩屋	塩屋
備考									冬期のみ運行	冬期間運休
山中温泉-A	07:35		08:32	10:20						
桂木町-B	07:36		08:33	10:21						
塚谷-B	07:37		08:34	10:22						
上原-B	07:38		08:35	10:23						
旭町-B	07:39		08:36	10:24						
長谷田-B	07:40		08:37	10:25						
中田-B	07:41		08:38	10:26						
二天-B	07:42		08:39	10:27						
淀町-B	07:43		08:40	10:28						
河南-B	07:44		08:41	10:29						
山代温泉南口-B	07:46		08:43	10:31						
山代西口-B	07:47		08:44	10:32						
幸町-B	07:48		08:45	10:33						
山代東口（１）	07:49	07:40	08:46	10:34			15:10			
山代温泉-A	07:50	07:41	08:47	10:35			15:11			
幸町-C	07:51	07:42	08:48	10:36			15:12			
山代小学校前-A	07:52	07:43	08:49	10:37			15:13			
保賀-A	07:53	07:44	08:50	10:38			15:14			
黒瀬-B	07:55	07:46	08:52	10:40			15:16			
黒瀬西-B	07:56	07:47	08:53	10:41			15:17			
上河崎-B	07:58	07:49	08:55	10:43			15:19			
下河崎-B	07:59	07:50	08:56	10:44			15:20			
南郷-B	08:00	07:51	08:57	10:45			15:21			
南郷公民館前-B	08:01	07:52	08:58	10:46			15:22			
菅生町-B	08:03	07:54	09:00	10:48			15:24			
弓町-B	08:04	07:55	09:01	10:49			15:25			
南町（加賀）-B	08:05	07:56	09:02	10:50			15:26			
大聖寺駅-E	-	-	-	-			15:28			
大聖寺駅-A	08:09	08:00	09:04	10:52	11:15	13:30		17:00	18:15	18:45
大聖寺実業高校前	08:12	08:03	-	-	-	-		-	-	-
南町（加賀）-A			09:05	10:53	11:16	13:31		17:01	18:16	18:46
越前町-C			09:06	10:54	11:17	13:32		-	-	-
市民病院-A			09:11	10:59	11:19	13:34		-	-	-
越前町-A					11:21	13:36		17:03	18:18	18:48
関町-A					11:22	13:37		17:04	18:19	18:49
錦町-A					11:23	13:38		17:05	18:20	18:50
錦城ケ丘-A					11:24	13:39		17:06	18:21	18:51
三ツ					11:25	13:40		17:07	18:22	18:52
三木-A					11:27	13:42		17:09	18:24	18:54
永井新					11:28	13:43		17:10	18:25	18:55
永井					11:29	13:44		17:11	18:26	18:56
永井西口					11:30	13:45		17:12	18:27	18:57
瀬越口					11:31	13:46		17:13	18:28	18:58
吉崎					11:32	13:47		17:14	18:29	18:59
上木					-	-		-	-	-
上木出村					-	-		-	-	-
加賀市青年の家					-	-		-	-	-
瀬越					-	-		-	-	-
塩屋					11:34	13:49		17:16	18:31	19:01
