始発停留所	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】			
始発時間	06:40	07:00	07:30	08:00	08:30	09:00	09:30	10:00	10:30	11:00	11:30	12:00	12:30	13:00	13:30	14:00	14:30	15:00	15:30	16:00	16:30	17:00	17:30	18:10	18:50	19:40	20:30			
終点時間	07:15	07:40	08:10	08:40	09:10	09:40	10:10	10:40	11:10	11:40	12:10	12:40	13:10	13:40	14:10	14:40	15:10	15:40	16:10	16:40	17:10	17:40	18:10	18:50	19:30	20:20	21:05			
終点停留所	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】			
備考																														
七尾駅前【６】	06:40	07:00	07:30	08:00	08:30	09:00	09:30	10:00	10:30	11:00	11:30	12:00	12:30	13:00	13:30	14:00	14:30	15:00	15:30	16:00	16:30	17:00	17:30	18:10	18:50	19:40	20:30			
桧物町-A	-	07:01	-	08:01	-	09:01	-	10:01	-	11:01	-	12:01	-	13:01	-	14:01	-	15:01	-	16:01	-	17:01	-	18:11	-	19:41	20:31			
能登食祭市場-A	-	07:02	-	08:02	-	09:02	-	10:02	-	11:02	-	12:02	-	13:02	-	14:02	-	15:02	-	16:02	-	17:02	-	18:12	-	19:42	20:32			
寿町-A	-	07:03	-	08:03	-	09:03	-	10:03	-	11:03	-	12:03	-	13:03	-	14:03	-	15:03	-	16:03	-	17:03	-	18:13	-	19:43	20:33			
桜町-A	-	07:04	-	08:04	-	09:04	-	10:04	-	11:04	-	12:04	-	13:04	-	14:04	-	15:04	-	16:04	-	17:04	-	18:14	-	19:44	20:33			
つつじケ浜-A	-	07:05	-	08:05	-	09:05	-	10:05	-	11:05	-	12:05	-	13:05	-	14:05	-	15:05	-	16:05	-	17:05	-	18:15	-	19:45	20:34			
七尾車庫前-A	-	07:06	-	08:06	-	09:06	-	10:06	-	11:06	-	12:06	-	13:06	-	14:06	-	15:06	-	16:06	-	17:06	-	18:16	-	19:46	20:35			
小丸山公園下-A	06:41	-	07:32	-	08:32	-	09:32	-	10:32	-	11:32	-	12:32	-	13:32	-	14:32	-	15:32	-	16:32	-	17:32	-	18:52	-	-			
小島橋-A	06:42	-	07:33	-	08:33	-	09:33	-	10:33	-	11:33	-	12:33	-	13:33	-	14:33	-	15:33	-	16:33	-	17:33	-	18:53	-	-			
小島町三丁目-A	06:44	-	07:35	-	08:35	-	09:35	-	10:35	-	11:35	-	12:35	-	13:35	-	14:35	-	15:35	-	16:35	-	17:35	-	18:55	-	-			
津向町-A	06:45	07:07	07:36	08:07	08:36	09:07	09:36	10:07	10:36	11:07	11:36	12:07	12:36	13:07	13:36	14:07	14:36	15:07	15:36	16:07	16:36	17:07	17:36	18:17	18:56	19:47	20:36			
松百新町-A	06:46	07:08	07:37	08:08	08:37	09:08	09:37	10:08	10:37	11:08	11:37	12:08	12:37	13:08	13:37	14:08	14:37	15:08	15:37	16:08	16:37	17:08	17:37	18:18	18:57	19:48	20:37			
国立七尾病院前-A	06:47	07:09	07:38	08:09	08:38	09:09	09:38	10:09	10:38	11:09	11:38	12:09	12:38	13:09	13:38	14:09	14:38	15:09	15:38	16:09	16:38	17:09	17:38	18:19	18:58	19:49	20:38			
松百-A	06:48	07:10	07:39	08:10	08:39	09:10	09:39	10:10	10:39	11:10	11:39	12:10	12:39	13:10	13:39	14:10	14:39	15:10	15:39	16:10	16:39	17:10	17:39	18:20	18:59	19:50	20:39			
祖浜-A	06:49	07:11	07:40	08:11	08:40	09:11	09:40	10:11	10:40	11:11	11:40	12:11	12:40	13:11	13:40	14:11	14:40	15:11	15:40	16:11	16:40	17:11	17:40	18:21	19:00	19:51	20:40			
