始発停留所	南部車庫（車庫内）	南部車庫（車庫内）	南部車庫（車庫内）	四十万-B	南部車庫（車庫内）	四十万-B	南部車庫（車庫内）			
始発時間	06:30	06:53	07:10	07:37	16:43	21:10	22:15			
終点時間	07:16	07:46	08:03	08:25	17:34	21:49	23:01			
終点停留所	金沢駅【降車場】	星稜高校（駐車場内）	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】			
備考		ノンステップバス								
南四十万二丁目										
南四十万-B										
中四十万（南四十万から）										
南部車庫（車庫内）	06:30	06:53	07:10		16:43		22:15			
加賀産上林-B	06:32	06:55	07:12		16:45		22:17			
加賀産新庄-B	06:34	06:57	07:14		16:47		22:19			
中四十万（南部車庫から）	06:36	06:58	07:17		16:49		22:21			
四十万-B	06:37	06:59	07:19	07:37	16:50	21:10	22:22			
しじま台-B	06:38	07:00	07:20	-	16:51	21:11	22:23			
額中学校前-B	06:38	07:00	07:20	07:39	16:51	21:11	22:23			
大額三丁目-B	06:39	07:01	07:21	-	16:52	21:12	22:24			
大額二丁目-B	06:40	07:02	07:22	07:40	16:53	21:13	22:25			
光が丘口（四十万から）	06:41	07:03	07:23	07:41	16:54	21:14	22:26			
扇台小学校前-B	06:43	07:04	07:25	07:43	16:56	21:16	22:28			
扇が丘-B	06:44	07:05	07:26	-	16:57	21:17	22:29			
金沢工業大学（四十万から）	06:45	07:06	07:27	-	16:58	21:18	22:30			
久安大橋-B	-	-	-	-	-	-	-			
三馬日赤病院前-B	06:46	07:07	07:28	-	16:59	21:19	22:31			
錦丘高校前（四十万から）	06:47	07:09	07:29	07:47	17:00	21:20	22:32			
伏見台（市内方向）	06:48	07:10	07:30	07:48	17:01	21:21	22:33			
寺地-B	06:49	07:11	07:31	-	17:02	21:22	22:34			
上有松-B	06:50	07:12	07:32	-	17:03	21:23	22:35			
有松（寺地から）	06:51	07:13	07:33	07:51	17:04	21:24	22:36			
泉二丁目-B	06:52	07:15	07:35	-	17:06	21:26	22:37			
泉一丁目-B	06:53	07:17	07:37	07:53	17:08	21:28	22:38			
野町-B	06:54	07:18	07:38	-	17:09	21:29	22:39			
広小路（有松から）	06:55	07:19	07:40	07:57	17:11	21:30	22:40			
片町（ラブロ前）	06:57	07:22	07:44	08:00	17:15	21:33	22:42			
香林坊（日銀前）	06:58	07:23	07:45	08:02	17:16	21:34	22:43			
南町-B	06:59	07:24	07:46	08:03	17:17	21:35	22:44			
武蔵ヶ辻（旧ダイエー裏）	-	-	-	-	-	-	-			
武蔵ヶ辻（エムザ前）	07:00	07:25	07:47	08:04	17:18	21:36	22:45			
リファーレ前-B	07:01	-	07:48	-	17:19	21:37	22:46			
金沢駅【降車場】	07:16	-	08:03	08:25	17:34	21:49	23:01			
彦三-A		07:27								
瓢箪町-A		07:28								
小橋町-A		07:29								
森山二丁目（山の上方向）		07:30								
山の上（鳴和方向）		07:32								
春日町（山の上から）		07:33								
桜丘高校前-A		07:35								
鳴和台-C		07:36								
御所町-A		07:37								
星稜高校（駐車場内）		07:46								
