始発停留所	南部車庫（車庫内）	南四十万二丁目			
始発時間	06:58	07:27			
終点時間	07:44	08:05			
終点停留所	金沢駅【降車場】	武蔵ヶ辻（旧ダイエー裏）			
備考					
南四十万二丁目		07:27			
南四十万-B		07:27			
中四十万（南四十万から）		07:29			
南部車庫（車庫内）	06:58	-			
加賀産上林-B	07:00	-			
加賀産新庄-B	07:02	-			
中四十万（南部車庫から）	07:04	-			
四十万-B	07:05	07:30			
しじま台-B	07:06	07:31			
額中学校前-B	07:06	07:31			
大額三丁目-B	07:07	07:32			
大額二丁目-B	07:08	07:33			
光が丘口（四十万から）	07:09	07:34			
扇台小学校前-B	07:11	07:36			
扇が丘-B	07:12	07:37			
金沢工業大学（四十万から）	07:13	07:38			
久安大橋-B	-	-			
三馬日赤病院前-B	07:14	07:39			
錦丘高校前（四十万から）	07:15	07:40			
伏見台（市内方向）	07:16	07:41			
寺地-B	07:17	07:42			
上有松-B	07:18	07:43			
有松（寺地から）	07:19	07:44			
泉二丁目-B	07:20	07:46			
泉一丁目-B	07:21	07:48			
野町-B	07:22	07:49			
広小路（有松から）	07:23	07:50			
片町（ラブロ前）	07:25	07:53			
香林坊（日銀前）	07:26	07:54			
南町-B	07:27	07:55			
武蔵ヶ辻（旧ダイエー裏）	-	08:05			
武蔵ヶ辻（エムザ前）	07:28				
リファーレ前-B	07:29				
金沢駅【降車場】	07:44				
彦三-A					
瓢箪町-A					
小橋町-A					
森山二丁目（山の上方向）					
山の上（鳴和方向）					
春日町（山の上から）					
桜丘高校前-A					
鳴和台-C					
御所町-A					
星稜高校（駐車場内）					
