始発停留所	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】				
始発時間	06:45	07:32	08:36	09:31	10:31	11:31	13:01	13:37	14:49	16:06	17:01	18:01	18:21	19:16	20:41	22:21				
終点時間	07:10	08:04	09:08	10:04	11:04	12:04	13:34	14:13	15:25	16:41	17:38	18:38	18:58	19:46	21:11	22:51				
終点停留所	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑タウン-A	大桑タウン-A	大桑タウン-A	大桑タウン-A	大桑タウン-A	大桑タウン-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A				
備考		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス								
金沢駅【７】	06:45	07:32	08:36	09:31	10:31	11:31	13:01	13:37	14:49	16:06	17:01	18:01	18:21	19:16	20:41	22:21				
本町	06:47	07:35	08:39	09:34	10:34	11:34	13:04	13:40	14:52	16:09	17:04	18:04	18:24	19:18	20:43	22:23				
武蔵ヶ辻（近江町市場前）	06:49	07:38	08:42	09:37	10:37	11:37	13:07	13:43	14:55	16:12	17:07	18:07	18:27	19:20	20:45	22:25				
南町-A	06:51	07:40	08:44	09:39	10:39	11:39	13:09	13:45	14:57	16:14	17:09	18:09	18:29	19:22	20:47	22:27				
香林坊（アトリオ前）	06:53	07:42	08:46	09:41	10:41	11:41	13:11	13:47	14:59	16:16	17:11	18:11	18:31	19:23	20:48	22:28				
片町（パシオン前）	06:56	07:45	08:49	09:44	10:44	11:44	13:14	13:50	15:02	16:19	17:14	18:14	18:34	19:25	20:50	22:30				
広小路（平和町方向）	06:59	07:48	08:52	09:47	10:47	11:47	13:17	13:53	15:05	16:22	17:17	18:17	18:37	19:27	20:52	22:32				
寺町三丁目-A	07:01	07:50	08:54	09:49	10:49	11:49	13:19	13:55	15:07	16:24	17:19	18:19	18:39	19:29	20:54	22:34				
寺町二丁目-A	07:02	07:51	08:55	09:50	10:50	11:50	13:20	13:56	15:08	16:25	17:20	18:20	18:40	19:30	20:55	22:35				
寺町一丁目（平和町方向）	07:03	07:52	08:56	09:51	10:51	11:51	13:21	13:57	15:09	16:26	17:21	18:21	18:41	19:31	20:56	22:36				
十一屋-A	07:04	07:53	08:57	09:52	10:52	11:52	13:22	13:58	15:10	16:27	17:22	18:22	18:42	19:32	20:57	22:37				
平和町（アルコ前）	07:05	07:54	08:58	09:53	10:53	11:53	13:23	13:59	15:11	16:28	17:23	18:23	18:43	19:33	20:58	22:38				
金大附校自衛隊前-A	07:06	07:55	08:59	09:54	10:54	11:54	13:24	14:00	15:12	16:29	17:24	18:24	18:44	19:34	20:59	22:39				
野田（郊外方向）	07:07	07:56	09:00	09:55	10:55	11:55	13:25	14:01	15:13	16:30	17:25	18:25	18:45	19:35	21:00	22:40				
大桑-A	07:08	07:58	09:02	09:57	10:57	11:57	13:27	14:03	15:15	16:32	17:27	18:27	18:47	19:37	21:02	22:42				
大桑グランド前	07:09	07:59	09:03	-	-	-	-	-	-	16:33	17:28	18:28	18:48	19:38	21:03	22:43				
大桑住宅-A	07:10	08:04	09:08	-	-	-	-	-	-	16:41	17:38	18:38	18:58	19:46	21:11	22:51				
大桑住宅（大桑本町方向）				09:58	10:58	11:58	13:28	14:04	15:16											
大桑タウン-A				10:04	11:04	12:04	13:34	14:13	15:25											
