始発停留所	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】
始発時間	07:03	07:33	08:03	09:03	10:03	11:03	12:03	13:03	14:03	15:03	16:03	17:03	18:03	19:03	19:43
終点時間	07:28	08:00	08:30	09:30	10:36	11:36	12:36	13:39	14:39	15:43	16:42	17:42	18:33	19:30	20:10
終点停留所	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑タウン-A	大桑タウン-A	大桑タウン-A	大桑タウン-A	大桑タウン-A	大桑タウン-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A
備考	ノンステップバス											ノンステップバス	ノンステップバス		ノンステップバス
金沢駅【７】	07:03	07:33	08:03	09:03	10:03	11:03	12:03	13:03	14:03	15:03	16:03	17:03	18:03	19:03	19:43
本町	07:05	07:35	08:05	09:05	10:06	11:06	12:06	13:06	14:06	15:06	16:06	17:06	18:05	19:05	19:45
武蔵ヶ辻（近江町市場前）	07:07	07:37	08:07	09:07	10:09	11:09	12:09	13:09	14:09	15:09	16:09	17:09	18:07	19:07	19:47
南町-A	07:09	07:39	08:09	09:09	10:11	11:11	12:11	13:11	14:11	15:11	16:11	17:11	18:09	19:09	19:49
香林坊（アトリオ前）	07:11	07:41	08:11	09:11	10:13	11:13	12:13	13:13	14:13	15:13	16:13	17:13	18:10	19:10	19:50
片町（パシオン前）	07:14	07:44	08:14	09:14	10:16	11:16	12:16	13:16	14:16	15:16	16:16	17:16	18:12	19:12	19:52
広小路（平和町方向）	07:17	07:47	08:17	09:17	10:19	11:19	12:19	13:19	14:19	15:19	16:19	17:19	18:14	19:14	19:54
寺町三丁目-A	07:19	07:49	08:19	09:19	10:21	11:21	12:21	13:21	14:21	15:21	16:21	17:21	18:16	19:16	19:56
寺町二丁目-A	07:20	07:50	08:20	09:20	10:22	11:22	12:22	13:22	14:22	15:22	16:22	17:22	18:17	19:17	19:57
寺町一丁目（平和町方向）	07:21	07:51	08:21	09:21	10:23	11:23	12:23	13:23	14:23	15:23	16:23	17:23	18:18	19:18	19:58
十一屋-A	07:22	07:52	08:22	09:22	10:24	11:24	12:24	13:24	14:24	15:24	16:24	17:24	18:19	19:19	19:59
平和町（アルコ前）	07:23	07:53	08:23	09:23	10:25	11:25	12:25	13:25	14:25	15:25	16:25	17:25	18:20	19:20	20:00
金大附校自衛隊前-A	07:24	07:54	08:24	09:24	10:26	11:26	12:26	13:26	14:26	15:26	16:26	17:26	18:21	19:21	20:01
野田（郊外方向）	07:25	07:55	08:25	09:25	10:27	11:27	12:27	13:27	14:27	15:27	16:27	17:27	18:22	19:22	20:02
大桑-A	07:26	07:57	08:27	09:27	10:29	11:29	12:29	13:29	14:29	15:29	16:29	17:29	18:24	19:24	20:04
大桑グランド前	07:27	07:58	08:28	09:28	-	-	-	-	-	-	16:30	17:30	18:25	19:25	20:05
大桑住宅-A	07:28	08:00	08:30	09:30	-	-	-	-	-	-	16:42	17:42	18:33	19:30	20:10
大桑住宅（大桑本町方向）					10:30	11:30	12:30	13:30	14:30	15:30					
大桑タウン-A					10:36	11:36	12:36	13:39	14:39	15:43					
