始発停留所	町野-B	町野-B	曽々木口-B		
始発時間	07:00	09:40	09:50		
終点時間	08:04	10:44	10:31		
終点停留所	飯田港	飯田港	木の浦		
備考					
町野-B	07:00	09:40			
広江-B	07:01	09:41			
下広江-B	07:02	09:42			
寺地-B	07:03	09:43			
敷戸-B	07:04	09:44			
上時国-B	07:05	09:45			
下時国-B	07:06	09:46			
曽々木口-B	07:07	09:47	09:50		
曽々木-A	07:08	09:48	09:51		
曽々木本町-A	07:10	09:50	09:53		
垂水-A	07:12	09:52	09:55		
真浦	07:14	09:54	09:57		
仁江-A	07:17	09:57	10:00		
清水-A	07:19	09:59	10:02		
片岩	07:21	10:01	10:04		
赤島-A	07:22	10:02	10:05		
長橋-A	07:25	10:05	10:08		
大谷-A	07:28	10:08	10:11		
赤神-A	-	-	10:13		
泊	-	-	10:15		
梨山	-	-	10:16		
馬緤	-	-	10:17		
鰐崎	-	-	10:18		
笹波口	-	-	10:20		
小浦出	-	-	10:22		
高屋	-	-	10:23		
思案崎-A	-	-	10:24		
高屋新保	-	-	10:25		
徳保	-	-	10:28		
木の浦	-	-	10:31		
からす川	07:30	10:10			
則貞	07:35	10:15			
通伝	07:39	10:19			
宇都山-A	07:45	10:25			
延武-A	07:46	10:26			
火宮	07:47	10:27			
古蔵-A	07:49	10:29			
中田口-A	07:50	10:30			
経念-A	07:51	10:31			
鈴内口-A	07:52	10:32			
出田	07:53	10:33			
出田川辺-A	07:54	10:34			
飯田栄町北-A	07:55	10:35			
飯田高校下	07:57	10:37			
珠洲市総合病院前-A	07:59	10:39			
すずなり館前-C	08:01	10:41			
昭和橋	08:02	10:42			
吾妻橋-B	08:03	10:43			
飯田港	08:04	10:44			
