始発停留所	穴水総合病院-A				
始発時間	13:10				
終点時間	14:34				
終点停留所	鵜川駅前-C				
備考					
穴水総合病院-A	13:10				
東町-B	13:13				
穴水駅前-D	13:15				
大町-A	13:16				
大島町-A	13:17				
栄町-C	13:18				
北七海-A	13:20				
麦ヶ浦-A	13:21				
下出-A	13:23				
中居北口-A	13:24				
中居南口-A	13:25				
向洋小学校-B	13:27				
中居南口-B	13:29				
中居北口-B	13:30				
下出-C	13:31				
梶	13:32				
滝又	13:35				
柿ヶ原	13:37				
堂地口	13:38				
藤巻	13:41				
木原公民館前	13:42				
能登木原	13:44				
伊久留	13:48				
伊久留下	13:49				
藤住	13:52				
伊久留下	13:55				
伊久留	13:56				
菅谷	13:59				
樟谷	14:01				
能登柏木	14:05				
太田原	14:09				
太田原橋	14:10				
柏木口	14:13				
上鮭尾	14:14				
下鮭尾	14:15				
堂坂橋	14:16				
宮地学校前	14:18				
宮地	14:19				
魚地橋-A	14:20				
長竜寺	14:21				
上山田	14:23				
山田	14:24				
能登瑞穂-A	14:26				
町	14:27				
八乃田	14:28				
柿生	14:29				
神道	14:30				
谷屋	14:31				
小垣	14:33				
鵜川駅前-A	14:34				
鵜川駅前-C	14:34				
