始発停留所	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	能登高校南	能登高校南	能登高校南	能登高校南	能登高校南	能登高校南	能登高校南
始発時間	06:42	08:50	10:50	11:40	13:00	15:25	17:00	17:41	18:33	19:20
終点時間	08:02	10:08	12:24	12:30	13:50	16:15	17:50	19:20	19:23	20:39
終点停留所	珠洲市総合病院前-A	珠洲市総合病院前-A	珠洲鉢ケ崎	松波城址公園口-A	松波城址公園口-A	松波城址公園口-A	松波城址公園口-A	珠洲鉢ケ崎	松波城址公園口-A	飯田栄町
備考										
能登高校南				11:40	13:00	15:25	17:00	17:41	18:33	19:20
崎山-A				-	13:02	-	17:02	-	-	-
辺田の浜-B				11:42	-	15:27	-	17:43	18:35	19:22
能登田町-A				11:43	13:03	15:28	17:03	17:44	18:36	19:23
宇出津病院前-A				11:44	13:04	15:29	17:04	17:45	18:37	19:24
宇出津駅前-A	06:42	08:50	10:50	11:45	13:05	15:30	17:05	17:46	18:38	19:25
宇出津病院前-B	06:43	08:51	10:51	11:46	13:06	15:31	17:06	17:47	18:39	19:26
新村浜	06:44	08:52	10:52	11:47	13:07	15:32	17:07	17:48	18:40	19:27
遠島山公園下	06:45	08:53	10:53	11:48	13:08	15:33	17:08	17:49	18:41	19:28
田の浦	06:46	08:54	10:54	11:49	13:09	15:34	17:09	17:50	18:42	19:29
羽根漁港	06:49	08:57	10:57	11:52	13:12	15:37	17:12	17:53	18:45	19:32
本小浦	06:52	09:00	11:00	11:55	13:15	15:40	17:15	17:56	18:48	19:35
真脇	06:54	09:02	11:03	11:58	13:18	15:43	17:18	17:59	18:51	19:38
縄文真脇温泉口	06:55	09:04	11:05	12:00	13:20	15:45	17:20	18:01	18:53	19:40
姫中組	06:57	09:05	11:06	12:01	13:21	15:46	17:21	18:02	18:54	19:41
姫上野台	06:59	09:07	11:08	12:03	13:23	15:48	17:23	18:04	18:56	19:43
姫幸港口	07:00	09:08	11:09	12:04	13:24	15:49	17:24	18:05	18:57	19:44
高瀬口	07:01	09:09	11:10	12:05	13:25	15:50	17:25	18:06	18:58	19:45
小木町	07:03	09:11	11:12	12:07	13:27	15:52	17:27	18:08	19:00	19:47
小木港	07:04	09:12	11:13	12:08	13:28	15:53	17:28	18:09	19:01	19:48
九十九岸	07:05	09:13	11:14	12:09	13:29	15:54	17:29	18:10	19:02	19:49
金大実験所口	07:06	09:14	11:15	12:10	13:30	15:55	17:30	18:11	19:03	19:50
九十九湾	07:07	09:15	11:16	12:11	13:31	15:56	17:31	18:12	19:04	19:51
勤労者プラザ前	07:08	09:16	11:17	12:12	13:32	15:57	17:32	18:13	19:05	19:52
越坂口	07:10	09:18	11:19	12:14	13:34	15:59	17:34	18:15	19:07	19:54
越坂	07:11	09:19	11:20	12:15	13:35	16:00	17:35	18:16	19:08	19:55
能登新保	07:12	09:20	11:21	12:16	13:36	16:01	17:36	18:17	19:09	19:56
五色ヶ浜	07:13	09:21	11:22	12:17	13:37	16:02	17:37	18:18	19:10	19:57
長尾	07:14	09:22	11:23	12:18	13:38	16:03	17:38	18:19	19:11	19:58
新村	07:15	09:23	11:24	12:19	13:39	16:04	17:39	18:20	19:12	19:59
能登宮崎	07:16	09:24	11:25	12:20	13:40	16:05	17:40	18:21	19:13	20:00
立壁口	07:18	09:26	11:27	12:22	13:42	16:07	17:42	18:23	19:15	20:02
九里川尻	07:20	09:28	11:29	12:24	13:44	16:09	17:44	18:25	19:17	20:04
九ノ里薬師寺前	07:21	09:29	11:30	12:25	13:45	16:10	17:45	18:26	19:18	20:05
松波中学校前	07:23	09:31	11:32	12:27	13:47	16:12	17:47	18:28	19:20	20:07
内浦庁舎前	07:24	09:32	11:33	12:28	13:48	16:13	17:48	18:29	19:21	20:08
松波本町-A	07:25	09:33	11:34	12:29	13:49	16:14	17:49	18:30	19:22	20:09
松波城址公園口-A	07:26	09:34	11:35	12:30	13:50	16:15	17:50	18:31	19:23	20:10
技術専門校前-A	07:27	09:35	11:36					18:32		20:11
南恋路-A	07:29	09:37	11:38					18:34		20:13
恋路浜-A	07:31	09:39	11:40					18:36		20:15
宗玄	07:32	09:40	11:41					18:37		20:16
本鵜島	07:33	09:41	11:42					18:38		20:17
船橋	07:34	09:42	11:43					18:39		20:18
黒丸	07:35	09:43	11:44					18:40		20:19
宝立小学校前-A	07:37	09:45	11:46					18:42		20:21
南鵜飼	07:38	09:46	11:47					18:43		20:22
鵜飼駅前	07:40	09:48	11:49					18:45		20:24
鵜飼本町-B	07:41	09:49	11:50					18:46		20:25
春日野-A	07:42	09:50	11:51					18:47		20:26
盤若橋-A	07:43	09:51	11:52					18:48		20:27
谷崎-B	07:44	09:52	11:53					18:49		20:28
竹中橋-A	07:45	09:53	11:54					18:50		20:29
上戸農協前-A	07:47	09:55	11:56					18:52		20:31
善慶寺前-A	07:48	09:56	11:57					18:53		20:32
北方-B	07:49	09:57	11:58					18:54		20:33
南町-A	07:51	09:59	12:00					18:56		20:35
能登飯田-B	07:53	10:01	12:02					18:58		20:37
吾妻橋-A	07:54	10:02	12:03					18:59		20:38
飯田栄町	07:55	10:03	12:04					19:00		20:39
飯田栄町北-B	07:56	10:04	12:05					19:01		
飯田高校下	08:00	10:06	12:07					19:03		
珠洲市総合病院前-A	08:02	10:08	12:09					19:05		
島田			12:10					19:06		
勝楽寺前			12:11					19:07		
野々江			12:12					19:08		
熊谷			12:13					19:09		
正院西口-A			12:14					19:10		
正院-A			12:15					19:11		
前浜			12:16					19:12		
珠洲川尻-A			12:17					19:13		
弁天公園前-A			12:19					19:15		
本蛸島-A			12:20					19:16		
蛸島本町			12:21					19:17		
旭町-A			12:22					19:18		
