始発停留所	宇出津駅前-A	能登高校南	能登高校南		
始発時間	07:02	13:35	18:05		
終点時間	08:15	14:36	19:04		
終点停留所	珠洲鉢ケ崎	珠洲市総合病院前-A	飯田高校下		
備考					
能登高校南		13:35	18:05		
辺田の浜-B		13:37	18:07		
能登田町-A		13:38	18:08		
宇出津病院前-A		13:39	18:09		
宇出津駅前-A	07:02	13:40	18:10		
宇出津病院前-B	07:03	13:41	18:11		
山分	07:04	13:42	18:12		
十八束	07:08	13:46	18:16		
能登山中	07:10	13:48	18:18		
時長	07:12	13:50	18:20		
能登不動寺-A	07:15	13:53	18:23		
宮犬	07:17	13:55	18:25		
内浦サンケン前	07:19	13:57	18:27		
能登上	07:20	13:58	18:28		
西松波	07:22	14:00	18:30		
松波本町-A	07:23	14:01	18:31		
松波城址公園口-A	07:24	14:02	18:32		
技術専門校前-A	07:25	14:03	18:33		
南恋路-A	07:27	14:05	18:35		
恋路浜-A	07:29	14:07	18:37		
宗玄	07:30	14:08	18:38		
本鵜島	07:31	14:09	18:39		
船橋	07:32	14:10	18:40		
黒丸	07:33	14:11	18:41		
宝立小学校前-A	07:35	14:13	18:43		
南鵜飼	07:36	14:14	18:44		
鵜飼駅前	07:38	14:16	18:46		
鵜飼本町-B	07:39	14:17	18:47		
春日野-A	07:40	14:18	18:48		
盤若橋-A	07:41	14:19	18:49		
谷崎-B	07:42	14:20	18:50		
竹中橋-A	07:43	14:21	18:51		
上戸農協前-A	07:45	14:23	18:53		
善慶寺前-A	07:46	14:24	18:54		
北方-B	07:47	14:25	18:55		
南町-A	07:49	14:27	18:57		
能登飯田-B	07:51	14:29	18:59		
吾妻橋-A	07:52	14:30	19:00		
飯田栄町	07:53	14:31	19:01		
飯田栄町北-B	07:54	14:32	19:02		
飯田高校下	07:58	14:34	19:04		
珠洲市総合病院前-A	08:00	14:36			
島田	08:01				
勝楽寺前	08:02				
野々江	08:03				
熊谷	08:04				
正院西口-A	08:05				
正院-A	08:06				
前浜	08:07				
珠洲川尻-A	08:08				
弁天公園前-A	08:10				
本蛸島-A	08:11				
蛸島本町	08:12				
旭町-A	08:13				
りふれっしゅ村	08:14				
珠洲鉢ケ崎	08:15				
