始発停留所	松波城址公園口-B				
始発時間	06:17				
終点時間	06:55				
終点停留所	能登高校南				
備考					
飯田高校下					
すずなり館前-C					
昭和橋					
上戸					
珠洲鵜飼					
本鵜島					
鵜島					
是久-B					
馬渡					
内浦駒渡					
柳田植物公園口					
柳田上町-A					
恋路浜-B					
松波城址公園口-B	06:17				
内浦庁舎前	06:19				
九里川尻	06:21				
能登宮崎	06:24				
越坂	06:29				
九十九湾	06:33				
小木港	06:35				
縄文真脇温泉口	06:39				
本小浦	06:41				
羽根漁港	06:44				
遠島山公園下	06:48				
能登町役場前	06:49				
宇出津駅前-A	06:50				
宇出津病院前-B	-				
能登田町-B	-				
辺田の浜-B	-				
能登高校南	06:55				
藤波駅口					
健民テニスコート前					
能登間島-B					
波並駅前-B					
三波					
矢波弁天-B					
なごみ-A					
能登七見					
能登桜木					
鵜川口-B					
鵜川駅前-D					
