始発停留所	金沢駅【１】	金沢駅【１】			
始発時間	08:00	16:05			
終点時間	11:17	19:29			
終点停留所	すずなり館前-C	すずなり館前-C			
備考					
金沢駅【１】	08:00	16:05			
駅西合庁前（西念南から）	08:06	16:11			
県庁前-B	08:09	16:14			
向陽台（能登特急線）	08:22	16:27			
医大病院-B	08:26	16:31			
西山ＰＡ-B	09:07	17:12			
此の木（８番ラーメン向）	09:37	-			
此の木（ガソリンスタンド向）	-	17:42			
穴水駅前-D	-	17:47			
精育園前-A	09:44	-			
能登空港	09:51	-			
桜峠-A	10:00	-			
中斉-A	10:04	-			
寺分-A	10:08	-			
柳田天坂-C	10:10	-			
柳田上町-A	10:12	-			
長坂	10:15	-			
下出-A	-	17:57			
比良	-	18:01			
能登瑞穂-A	-	18:13			
神道	-	18:16			
小垣	-	18:18			
鵜川口-A	-	18:19			
波並駅前-B	-	18:25			
宇出津駅前-A	10:20	18:32			
能登町役場前	10:22	18:34			
遠島山公園下	10:24	18:36			
羽根漁港	10:27	18:39			
本小浦	10:30	18:42			
縄文真脇温泉口	10:33	18:45			
小木港	10:39	18:51			
九十九湾	10:41	18:53			
越坂	10:44	18:56			
能登宮崎	10:50	19:02			
内浦庁舎前	10:55	19:07			
恋路浜-A	11:00	19:12			
本鵜島	11:02	19:14			
南鵜飼	11:07	19:19			
珠洲市役所前	11:14	19:26			
すずなり館前-C	11:17	19:29			
