始発停留所	山是清-A	山是清-A			
始発時間	07:30	13:50			
終点時間	08:00	14:20			
終点停留所	門前-A	門前-A			
備考					
山是清-A	07:30	13:50			
江崎-A	07:32	13:52			
二又-A	07:33	13:53			
大切口-A	07:34	13:54			
小山-A	07:36	13:56			
椎木口-A	07:37	13:57			
中田-A	07:40	14:00			
鍛冶屋口-A	07:41	14:01			
南-A	07:43	14:03			
池田-C	07:45	14:05			
北川-A	07:47	14:07			
大口-A	07:49	14:09			
南黒島-A	07:50	14:10			
黒島-A	07:51	14:11			
道下栄町-A	07:52	14:12			
西道下-A	07:53	14:13			
道下-A	07:54	14:14			
東道下-A	07:55	14:15			
勝田口-A	07:56	14:16			
林業センター前-A	07:57	14:17			
総持寺前-A	07:58	14:18			
立町-B	07:59	14:19			
門前-A	08:00	14:20			
