始発停留所	七尾駅前【３】	能登総合病院	七尾駅前【３】	七尾駅前【３】	七尾駅前【３】	七尾駅前【３】				
始発時間	11:15	13:20	15:40	17:30	18:30	19:10				
終点時間	12:32	14:47	16:57	18:47	19:47	19:42				
終点停留所	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	鵜の浦-A				
備考										
能登総合病院		13:20								
小丸山台３丁目-B		13:21								
小丸山台２丁目-B		13:22								
小丸山台１丁目-B		13:23								
小丸山公園下-B		13:25								
七尾駅前【３】	11:15	13:30	15:40	17:30	18:30	19:10				
川原町-C	11:17	13:32	15:42	17:32	18:32	19:12				
郡町-A	11:18	13:33	15:43	17:33	18:33	19:13				
湊町口-A	11:19	13:34	15:44	17:34	18:34	19:14				
矢田新中央-A	11:20	13:35	15:45	17:35	18:35	19:15				
矢田新東-A	11:21	13:36	15:46	17:36	18:36	19:16				
万行浜通り-A	11:22	13:37	15:47	17:37	18:37	19:17				
臼池-A	11:22	13:37	15:47	17:37	18:37	19:17				
東湊小学校前-A	11:23	13:38	15:48	17:38	18:38	19:18				
卸売市場前-A	11:24	13:39	15:49	17:39	18:39	19:19				
太田八幡-A	11:25	13:40	15:50	17:40	18:40	19:20				
海門寺-B	11:26	13:41	15:51	17:41	18:41	19:21				
滝の尻-B	11:27	13:42	15:52	17:42	18:42	19:22				
赤崎-A	11:28	13:43	15:53	17:43	18:43	19:23				
赤崎温泉-A	11:29	13:44	15:54	17:44	18:44	19:24				
此の木-B	11:30	13:45	15:55	17:45	18:45	19:25				
上三室-A	11:33	13:48	15:58	17:48	18:48	19:28				
三室-B	11:35	13:50	16:00	17:50	18:50	19:30				
福留-A	11:36	13:51	16:01	17:51	18:51	19:31				
福浦-A	11:37	13:52	16:02	17:52	18:52	19:32				
鹿渡島-B	11:42	13:57	16:07	17:57	18:57	19:37				
鹿渡島漁港	11:43	13:58	16:08	17:58	18:58	19:38				
鹿渡島-B	11:44	13:59	16:09	17:59	18:59	19:39				
川尻-A	11:46	14:01	16:11	18:01	19:01	19:41				
鵜の浦-A	11:47	14:02	16:12	18:02	19:02	19:42				
崎山郵便局前-B	11:48	14:03	16:13	18:03	19:03					
山崎-B	11:49	14:04	16:14	18:04	19:04					
湯川口-A	11:50	14:05	16:15	18:05	19:05					
湯川温泉-B	11:51	14:06	16:16	18:06	19:06					
下湯川-A	11:52	14:07	16:17	18:07	19:07					
上湯川-B	11:55	14:10	16:20	18:10	19:10					
下湯川-A	11:56	14:11	16:21	18:11	19:11					
湯川温泉-B	11:57	14:12	16:22	18:12	19:12					
湯川口-A	11:58	14:13	16:23	18:13	19:13					
大野木-A	12:00	14:15	16:25	18:15	19:15					
江泊-B	12:03	14:18	16:28	18:18	19:18					
白鳥-B	12:05	14:20	16:30	18:20	19:20					
百海-C	12:08	14:23	16:33	18:23	19:23					
沢野-B	12:12	14:27	16:37	18:27	19:27					
殿-B	12:13	14:28	16:38	18:28	19:28					
太田八幡-B	12:17	14:32	16:42	18:32	19:32					
卸売市場前-B	12:18	14:33	16:43	18:33	19:33					
東湊小学校前-B	12:19	14:34	16:44	18:34	19:34					
臼池-B	12:20	14:35	16:45	18:35	19:35					
万行浜通り-B	12:21	14:36	16:46	18:36	19:36					
矢田新東-B	12:22	14:37	16:47	18:37	19:37					
矢田新中央-B	12:23	14:38	16:48	18:38	19:38					
湊町口-B	12:24	14:39	16:49	18:39	19:39					
郡町-B	12:25	14:40	16:50	18:40	19:40					
川原町-D	12:26	14:41	16:51	18:41	19:41					
七尾駅前【ミナ．クル前降車場】	12:31	14:46	16:56	18:46	19:46					
七尾駅前【１】	12:32	14:47	16:57	18:47	19:47					
