始発停留所	七尾駅前【３】	七尾駅前【３】	七尾駅前【３】		
始発時間	11:30	16:00	18:00		
終点時間	12:47	17:17	19:17		
終点停留所	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】		
備考					
能登総合病院					
小丸山台３丁目-B					
小丸山台２丁目-B					
小丸山台１丁目-B					
小丸山公園下-B					
七尾駅前【３】	11:30	16:00	18:00		
川原町-C	11:32	16:02	18:02		
郡町-A	11:33	16:03	18:03		
湊町口-A	11:34	16:04	18:04		
矢田新中央-A	11:35	16:05	18:05		
矢田新東-A	11:36	16:06	18:06		
万行浜通り-A	11:37	16:07	18:07		
臼池-A	11:37	16:07	18:07		
東湊小学校前-A	11:38	16:08	18:08		
卸売市場前-A	11:39	16:09	18:09		
太田八幡-A	11:40	16:10	18:10		
海門寺-B	11:41	16:11	18:11		
滝の尻-B	11:42	16:12	18:12		
赤崎-A	11:43	16:13	18:13		
赤崎温泉-A	11:44	16:14	18:14		
此の木-B	11:45	16:15	18:15		
上三室-A	11:48	16:18	18:18		
三室-B	11:50	16:20	18:20		
福留-A	11:51	16:21	18:21		
福浦-A	11:52	16:22	18:22		
鹿渡島-B	11:57	16:27	18:27		
鹿渡島漁港	11:58	16:28	18:28		
鹿渡島-B	11:59	16:29	18:29		
川尻-A	12:01	16:31	18:31		
鵜の浦-A	12:02	16:32	18:32		
崎山郵便局前-B	12:03	16:33	18:33		
山崎-B	12:04	16:34	18:34		
湯川口-A	12:05	16:35	18:35		
湯川温泉-B	12:06	16:36	18:36		
下湯川-A	12:07	16:37	18:37		
上湯川-B	12:10	16:40	18:40		
下湯川-A	12:11	16:41	18:41		
湯川温泉-B	12:12	16:42	18:42		
湯川口-A	12:13	16:43	18:43		
大野木-A	12:15	16:45	18:45		
江泊-B	12:18	16:48	18:48		
白鳥-B	12:20	16:50	18:50		
百海-C	12:23	16:53	18:53		
沢野-B	12:27	16:57	18:57		
殿-B	12:28	16:58	18:58		
太田八幡-B	12:32	17:02	19:02		
卸売市場前-B	12:33	17:03	19:03		
東湊小学校前-B	12:34	17:04	19:04		
臼池-B	12:35	17:05	19:05		
万行浜通り-B	12:36	17:06	19:06		
矢田新東-B	12:37	17:07	19:07		
矢田新中央-B	12:38	17:08	19:08		
湊町口-B	12:39	17:09	19:09		
郡町-B	12:40	17:10	19:10		
川原町-D	12:41	17:11	19:11		
七尾駅前【ミナ．クル前降車場】	12:46	17:16	19:16		
七尾駅前【１】	12:47	17:17	19:17		
