始発停留所	松任駅前	松任駅前	松任駅前	松任駅前	松任駅前
始発時間	08:05	11:00	14:30	16:25	18:00
終点時間	08:41	11:36	15:06	17:01	18:36
終点停留所	緑ケ丘十丁目-A	緑ケ丘十丁目-A	緑ケ丘十丁目-A	緑ケ丘十丁目-A	緑ケ丘十丁目-A
備考					
松任駅前	08:05	11:00	14:30	16:25	18:00
松任１	08:06	11:01	14:31	16:26	18:01
広小路（松任）-A	08:07	11:02	14:32	16:27	18:02
蕪城通り-A	08:08	11:03	14:33	16:28	18:03
松任合庁前-A	08:09	11:04	14:34	16:29	18:04
白山市役所前-A	08:10	11:05	14:35	16:30	18:05
総合運動公園東口-A	08:11	11:06	14:36	16:31	18:06
松任中央病院-A	08:13	11:08	14:38	16:33	18:08
開発-B	08:15	11:10	14:40	16:35	18:10
平松-A	08:16	11:11	14:41	16:36	18:11
剣崎-B	08:17	11:12	14:42	16:37	18:12
安吉-A	08:18	11:13	14:43	16:38	18:13
城南橋-B	08:19	11:14	14:44	16:39	18:14
寄新保-A	08:20	11:15	14:45	16:40	18:15
草深-B	08:22	11:17	14:47	16:42	18:17
川北小学校前	08:24	11:19	14:49	16:44	18:19
川北温泉	08:26	11:21	14:51	16:46	18:21
一ツ屋	08:27	11:22	14:52	16:47	18:22
山田先出-B	08:28	11:23	14:53	16:48	18:23
出口-B	08:30	11:25	14:55	16:50	18:25
倉重（出口）	08:31	11:26	14:56	16:51	18:26
辰口-A	08:32	11:27	14:57	16:52	18:27
辰口温泉	08:33	11:28	14:58	16:53	18:28
辰口丘陵公園口-A	08:34	11:29	14:59	16:54	18:29
緑ケ丘一丁目-B	08:35	11:30	15:00	16:55	18:30
緑ケ丘四丁目-A	08:36	11:31	15:01	16:56	18:31
辰口ハイタウン-A	08:37	11:32	15:02	16:57	18:32
緑ケ丘九丁目-A	08:38	11:33	15:03	16:58	18:33
緑ケ丘十丁目-A	08:41	11:36	15:06	17:01	18:36
いしかわ動物園					
