始発停留所	福浦-A	福浦-A	赤住		
始発時間	06:35	07:35	18:25		
終点時間	07:02	08:02	18:45		
終点停留所	高浜-E	高浜-E	高浜-E		
備考					
富来-A					
七海-B					
生神-C					
牛下-B					
巌門					
水の澗					
福浦-A	06:35	07:35			
赤住	06:42	07:42	18:25		
松戸-B	06:43	07:43	18:26		
江野-B	06:44	07:44	18:27		
百浦-B	06:45	07:45	18:28		
南百浦-B	06:46	07:46	18:29		
小浦-B	06:47	07:47	18:30		
大津-B	06:49	07:49	18:32		
上野-B	06:51	07:51	18:34		
安部屋-B	06:53	07:53	18:36		
高浜港-B	06:54	07:54	18:37		
千鳥ケ浜-B	06:55	07:55	18:38		
はまなす団地前-B	06:56	07:56	18:39		
大念寺-A	06:58	07:58	18:41		
高浜-E	07:02	08:02	18:45		
