始発停留所	高浜-B	高浜-B	高浜-B	高浜-B	高浜-B
始発時間	07:05	15:00	17:05	18:00	19:00
終点時間	07:32	15:20	17:32	18:20	19:27
終点停留所	福浦-A	赤住	福浦-A	赤住	福浦-A
備考					
高浜-B	07:05	15:00	17:05	18:00	19:00
大念寺-B	07:07	15:02	17:07	18:02	19:02
はまなす団地前-A	07:08	15:03	17:08	18:03	19:03
千鳥ケ浜-A	07:09	15:04	17:09	18:04	19:04
高浜港-A	07:10	15:05	17:10	18:05	19:05
安部屋-A	07:12	15:07	17:12	18:07	19:07
上野-A	07:15	15:10	17:15	18:10	19:10
大津-A	07:16	15:11	17:16	18:11	19:11
小浦-A	07:17	15:12	17:17	18:12	19:12
南百浦-A	07:18	15:13	17:18	18:13	19:13
百浦-A	07:19	15:14	17:19	18:14	19:14
江野-A	07:21	15:16	17:21	18:16	19:16
松戸-A	07:23	15:18	17:23	18:18	19:18
赤住	07:25	15:20	17:25	18:20	19:20
福浦-A	07:32		17:32		19:27
水の澗					
巌門					
牛下-A					
生神-C					
七海-A					
富来-E					
