始発停留所	小浦出	木の浦	木の浦	木の浦	木の浦	木の浦	木の浦			
始発時間	07:24	07:50	09:55	11:00	13:20	15:05	16:48			
終点時間	08:09	08:51	10:56	12:01	14:21	16:06	17:49			
終点停留所	能登飯田-A	能登飯田-A	能登飯田-A	能登飯田-A	能登飯田-A	能登飯田-A	能登飯田-A			
備考										
小浦出	07:24									
高屋	07:25									
思案崎-A	07:26									
高屋新保	07:27									
徳保	07:31									
木の浦	07:32	07:50	09:55	11:00	13:20	15:05	16:48			
能登折戸-B	07:34	-	-	-	-	-	-			
灰庭口	07:37	-	-	-	-	-	-			
北山口	07:39	-	-	-	-	-	-			
北山	07:40	-	-	-	-	-	-			
東山中	07:41	-	-	-	-	-	-			
唐笠口	07:42	-	-	-	-	-	-			
能登洲巻	07:43	-	-	-	-	-	-			
洲巻口	07:44	-	-	-	-	-	-			
岡田	07:49	-	-	-	-	-	-			
岡田神社前	07:50	-	-	-	-	-	-			
岡田口	07:51	-	-	-	-	-	-			
能登飯塚	07:52	-	-	-	-	-	-			
飯塚農協前	07:53	-	-	-	-	-	-			
能登折戸-A	-	07:52	09:57	11:02	13:22	15:07	16:50			
能登洲崎	-	07:54	09:59	11:04	13:24	15:09	16:52			
川浦	-	07:56	10:01	11:06	13:26	15:11	16:54			
能登横山	-	07:58	10:03	11:08	13:28	15:13	16:56			
狼煙-B	-	08:00	10:05	11:10	13:30	15:15	16:58			
狼煙口	-	08:01	10:06	11:11	13:31	15:16	16:59			
葭ヶ浦	-	08:05	10:10	11:15	13:35	15:20	17:03			
寺家上野	-	08:08	10:13	11:18	13:38	15:23	17:06			
寺家塩津	-	08:10	10:15	11:20	13:40	15:25	17:08			
須須神社前	-	08:11	10:16	11:21	13:41	15:26	17:09			
寺家川上	-	08:12	10:17	11:22	13:42	15:27	17:10			
寺家大浜	-	08:13	10:18	11:23	13:43	15:28	17:11			
みさき小学校前-B	-	08:14	10:19	11:24	13:44	15:29	17:12			
粟津	-	08:15	10:20	11:25	13:45	15:30	17:13			
森腰	-	08:16	10:21	11:26	13:46	15:31	17:14			
能登宇治	-	08:18	10:23	11:28	13:48	15:33	17:16			
引砂のさんにょもん	-	08:19	10:24	11:29	13:49	15:34	17:17			
高波	-	08:21	10:26	11:31	13:51	15:36	17:19			
能登伏見	-	08:22	10:27	11:32	13:52	15:37	17:20			
小泊	-	08:24	10:29	11:34	13:54	15:39	17:22			
小泊港	-	08:26	10:31	11:36	13:56	15:41	17:24			
雲津	-	08:28	10:33	11:38	13:58	15:43	17:26			
上雲津-B	-	08:29	10:34	11:39	13:59	15:44	17:27			
鉢ヶ崎-B	-	08:30	10:35	11:40	14:00	15:45	17:28			
りふれっしゅ村	-	08:31	10:36	11:41	14:01	15:46	17:29			
旭町-B	-	08:32	10:37	11:42	14:02	15:47	17:30			
蛸島本町	-	08:33	10:38	11:43	14:03	15:48	17:31			
本蛸島-B	-	08:34	10:39	11:44	14:04	15:49	17:32			
弁天公園前-B	-	08:35	10:40	11:45	14:05	15:50	17:33			
珠洲川尻-B	-	08:37	10:42	11:47	14:07	15:52	17:35			
前浜	-	08:38	10:43	11:48	14:08	15:53	17:36			
川尻口-B	07:56	-	-	-	-	-	-			
正院-B	07:57	08:39	10:44	11:49	14:09	15:54	17:37			
正院西口-B	07:58	08:40	10:45	11:50	14:10	15:55	17:38			
熊谷	07:59	08:41	10:46	11:51	14:11	15:56	17:39			
野々江	08:00	08:42	10:47	11:52	14:12	15:57	17:40			
勝楽寺前	08:01	08:43	10:48	11:53	14:13	15:58	17:41			
島田	08:02	08:44	10:49	11:54	14:14	15:59	17:42			
珠洲市総合病院前-A	08:03	08:45	10:50	11:55	14:15	16:00	17:43			
飯田高校下	08:05	08:47	10:52	11:57	14:17	16:02	17:45			
すずなり館前-C	08:06	08:48	10:53	11:58	14:18	16:03	17:46			
昭和橋	08:07	08:49	10:54	11:59	14:19	16:04	17:47			
吾妻橋-B	08:08	08:50	10:55	12:00	14:20	16:05	17:48			
能登飯田-A	08:09	08:51	10:56	12:01	14:21	16:06	17:49			
南町-A										
北方-B										
善慶寺前-A										
上戸農協前-A										
竹中橋-A										
谷崎-B										
盤若橋-B										
春日野-A										
鵜飼本町-B										
鵜飼駅前										
