始発停留所	大浦保育園前-B	大浦保育園前-B	木越住宅（始発）	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B
始発時間	07:03	07:43	08:45	09:14	10:50	12:45	14:47	16:09	18:15	20:00
終点時間	07:55	08:35	09:32	10:09	11:45	13:40	15:45	17:07	19:10	20:52
終点停留所	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D
備考		ノンステップバス					ノンステップバス	ノンステップバス		ノンステップバス
大浦保育園前-B	07:03	07:43		09:14	10:50	12:45	14:47	16:09	18:15	20:00
大浦-A	07:04	07:44		09:15	10:51	12:46	14:48	16:10	18:16	20:01
大浦東口	07:05	07:45		09:16	10:52	12:47	14:49	16:11	18:17	20:02
木越-B	07:07	07:47		09:18	10:54	12:49	14:51	16:13	18:19	20:04
木越住宅（始発）	-	-	08:45	-	-	-	-	-	-	-
木越住宅（市内方向）	07:08	07:48	08:45	09:19	10:55	12:50	14:52	16:14	18:20	20:05
みずき団地口-B	07:09	07:49	08:46	09:20	10:56	12:51	14:53	16:15	18:21	20:06
千木-B	07:11	07:51	08:48	09:22	10:58	12:53	14:55	16:17	18:23	20:08
千木南-B	07:12	07:52	08:49	09:23	10:59	12:54	14:56	16:18	18:24	20:09
疋田東-B	07:13	07:53	08:50	09:24	11:00	12:55	14:57	16:19	18:25	20:10
疋田-B	07:14	07:54	08:51	09:25	11:01	12:56	14:58	16:20	18:26	20:11
中神谷内-B	07:15	07:55	08:52	09:26	11:02	12:57	14:59	16:21	18:27	20:12
神谷内-B	07:17	07:57	08:54	09:28	11:04	12:59	15:01	16:23	18:29	20:14
小坂中-B	07:18	07:58	08:55	09:29	11:05	13:00	15:02	16:24	18:30	20:15
小坂-B	07:19	07:59	08:56	09:30	11:06	13:01	15:03	16:25	18:31	20:16
鳴和-B	07:20	08:00	08:57	09:31	11:07	13:02	15:04	16:26	18:32	20:17
春日町（山の上方向）	07:21	08:01	08:58	09:32	11:08	13:03	15:05	16:27	18:33	20:18
山の上（橋場方向）	07:22	08:02	08:59	09:33	11:09	13:04	15:06	16:28	18:34	20:19
森山-B	07:23	08:03	09:00	09:34	11:10	13:05	15:07	16:29	18:35	20:20
東山-B	07:24	08:04	09:01	09:35	11:11	13:06	15:08	16:30	18:36	20:21
橋場町（交番前）	07:26	08:06	09:03	09:37	11:13	13:08	15:10	16:32	18:38	20:23
尾張町-B	07:27	08:07	09:04	09:39	11:15	13:10	15:12	16:34	18:40	20:24
武蔵ヶ辻（近江町市場前）	07:29	08:09	09:06	09:41	11:17	13:12	15:14	16:36	18:42	20:26
南町-A	07:30	08:10	09:07	09:43	11:19	13:14	15:16	16:38	18:44	20:27
香林坊（アトリオ前）	07:32	08:12	09:09	09:45	11:21	13:16	15:18	16:40	18:46	20:29
片町（パシオン前）	07:34	08:14	09:11	09:48	11:24	13:19	15:21	16:43	18:49	20:31
広小路（有松方向）	07:36	08:16	09:13	09:50	11:26	13:21	15:23	16:45	18:51	20:33
野町-A	07:37	08:17	09:14	09:51	11:27	13:22	15:24	16:46	18:52	20:34
泉一丁目-A	07:38	08:18	09:15	09:52	11:28	13:23	15:25	16:47	18:53	20:35
泉二丁目-A	07:39	08:19	09:16	09:53	11:29	13:24	15:26	16:48	18:54	20:36
有松（泉が丘方向）	07:40	08:20	09:17	09:55	11:31	13:26	15:28	16:50	18:56	20:37
泉が丘（円光寺方向）	07:42	08:22	09:19	09:57	11:33	13:28	15:30	16:52	18:58	20:39
泉丘高校前-A	07:44	08:24	09:21	09:59	11:35	13:30	15:32	16:54	19:00	20:41
円光寺-D	07:55	08:35	09:32	10:09	11:45	13:40	15:45	17:07	19:10	20:52
