始発停留所	大浦保育園前-B	大浦保育園前-B	木越住宅（始発）	木越住宅（始発）	大浦保育園前-B	大浦保育園前-B	木越住宅（始発）	大浦保育園前-B	木越住宅（始発）	大浦保育園前-B	木越住宅（始発）	大浦保育園前-B			
始発時間	06:50	07:23	09:00	10:15	10:38	12:05	13:20	14:15	15:20	16:25	17:35	18:40			
終点時間	07:42	08:25	09:52	11:07	11:35	13:02	14:12	15:15	16:15	17:25	18:32	19:40			
終点停留所	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D			
備考	ノンステップバス		ノンステップバス	ノンステップバス				ノンステップバス							
大浦保育園前-B	06:50	07:23			10:38	12:05		14:15		16:25		18:40			
大浦-A	06:51	07:24			10:39	12:06		14:16		16:26		18:41			
大浦東口	06:52	07:25			10:40	12:07		14:17		16:27		18:42			
木越-B	06:54	07:27			10:42	12:09		14:19		16:29		18:44			
木越住宅（始発）	-	-	09:00	10:15	-	-	13:20	-	15:20	-	17:35	-			
木越住宅（市内方向）	06:55	07:28	09:00	10:15	10:43	12:10	13:20	14:20	15:20	16:30	17:35	18:45			
みずき団地口-B	06:56	07:29	09:01	10:16	10:44	12:11	13:21	14:21	15:21	16:31	17:36	18:46			
千木-B	06:58	07:31	09:03	10:18	10:46	12:13	13:23	14:23	15:23	16:33	17:38	18:48			
千木南-B	06:59	07:32	09:04	10:19	10:47	12:14	13:24	14:24	15:24	16:34	17:39	18:49			
疋田東-B	07:00	07:34	09:05	10:20	10:48	12:15	13:25	14:25	15:25	16:35	17:41	18:50			
疋田-B	07:01	07:35	09:06	10:21	10:49	12:16	13:26	14:26	15:26	16:36	17:42	18:51			
中神谷内-B	07:02	07:36	09:07	10:22	10:50	12:17	13:27	14:27	15:27	16:37	17:43	18:52			
神谷内-B	07:04	07:38	09:09	10:24	10:52	12:19	13:29	14:29	15:29	16:39	17:45	18:54			
小坂中-B	07:05	07:39	09:10	10:25	10:53	12:20	13:30	14:30	15:30	16:40	17:46	18:55			
小坂-B	07:06	07:40	09:11	10:26	10:54	12:21	13:31	14:31	15:31	16:41	17:47	18:56			
鳴和-B	07:07	07:41	09:12	10:27	10:55	12:22	13:32	14:32	15:32	16:42	17:48	18:57			
春日町（山の上方向）	07:08	07:43	09:13	10:28	10:56	12:23	13:33	14:33	15:33	16:43	17:50	18:58			
山の上（橋場方向）	07:09	07:44	09:14	10:29	10:57	12:24	13:34	14:34	15:34	16:44	17:51	18:59			
森山-B	07:10	07:45	09:15	10:30	10:58	12:25	13:35	14:35	15:35	16:45	17:52	19:00			
東山-B	07:11	07:46	09:16	10:31	10:59	12:26	13:36	14:36	15:36	16:46	17:53	19:01			
橋場町（交番前）	07:13	07:48	09:18	10:33	11:01	12:28	13:38	14:38	15:38	16:48	17:55	19:03			
尾張町-B	07:14	07:50	09:20	10:35	11:03	12:30	13:40	14:40	15:40	16:50	17:57	19:05			
武蔵ヶ辻（近江町市場前）	07:16	07:54	09:23	10:38	11:06	12:33	13:43	14:43	15:43	16:53	18:01	19:08			
南町-A	07:17	07:56	09:25	10:40	11:08	12:35	13:45	14:45	15:45	16:55	18:03	19:10			
香林坊（アトリオ前）	07:19	07:58	09:27	10:42	11:10	12:37	13:47	14:47	15:47	16:57	18:05	19:12			
片町（パシオン前）	07:21	08:01	09:30	10:45	11:13	12:40	13:50	14:50	15:50	17:00	18:08	19:15			
広小路（有松方向）	07:23	08:03	09:32	10:47	11:15	12:42	13:52	14:52	15:52	17:02	18:10	19:17			
野町-A	07:24	08:04	09:33	10:48	11:16	12:43	13:53	14:53	15:53	17:03	18:11	19:18			
泉一丁目-A	07:25	08:05	09:34	10:49	11:17	12:44	13:54	14:54	15:54	17:04	18:12	19:19			
泉二丁目-A	07:26	08:06	09:35	10:50	11:18	12:45	13:55	14:55	15:55	17:05	18:13	19:20			
有松（泉が丘方向）	07:27	08:08	09:37	10:52	11:20	12:47	13:57	14:57	15:57	17:07	18:15	19:22			
泉が丘（円光寺方向）	07:29	08:10	09:39	10:54	11:22	12:49	13:59	14:59	15:59	17:09	18:17	19:24			
泉丘高校前-A	07:31	08:12	09:41	10:56	11:24	12:51	14:01	15:01	16:01	17:11	18:19	19:26			
円光寺-D	07:42	08:25	09:52	11:07	11:35	13:02	14:12	15:15	16:15	17:25	18:32	19:40			
