始発停留所	若松（やまや前）	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B				
始発時間	07:30	09:00	13:07	16:15	17:05	18:41				
終点時間	07:55	09:25	13:34	16:42	17:32	19:08				
終点停留所	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅				
備考			ノンステップバス							
金沢大学-B		09:00	13:07	16:15	17:05	18:41				
金沢大学中央-B		09:01	13:08	16:16	17:06	18:42				
金沢大学自然研前		-	13:10	16:18	17:08	18:44				
金沢大学角間口-B		09:02	13:11	16:19	17:09	18:45				
角間新町-B		09:03	13:12	16:20	17:10	18:46				
若松（やまや前）	07:30	09:04	13:14	16:22	17:12	18:48				
若松西-B	07:31	09:05	13:15	16:23	17:13	18:49				
若松橋-B	07:32	09:06	13:16	16:24	17:14	18:50				
鈴見町-B	07:33	09:07	13:17	16:25	17:15	18:51				
鈴見台一丁目（アオキ向）	07:34	09:08	13:18	16:26	17:16	18:52				
御所町-A	07:39	09:13	13:23	16:31	17:21	18:57				
星稜高校（星稜高校向い）	07:40	09:14	13:24	16:32	17:22	18:58				
小坂西-A	07:43	09:17	13:27	16:35	17:25	19:01				
東金沢駅東口-B	07:44	09:18	13:28	16:36	17:26	19:02				
東金沢駅	07:55	09:25	13:34	16:42	17:32	19:08				
