始発停留所	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	
始発時間	06:58	07:05	07:12	07:23	
終点時間	08:04	08:11	08:18	07:48	
終点停留所	香林坊（市役所前）	香林坊（市役所前）	香林坊（市役所前）	明倫高校前（稲荷方向）	
備考					
千代野ニュータウン	06:58	07:05	07:12	07:23	
千代野西八丁目-B	06:59	07:06	07:13	07:24	
千代野西六丁目-B	06:59	07:06	07:13	07:24	
千代野西二丁目-B	07:00	07:07	07:14	07:25	
千代野東三丁目-B	07:01	07:08	07:15	07:26	
千代野東一丁目-B	07:02	07:09	07:16	07:27	
北安田南-B	07:03	07:10	07:17	07:28	
北安田中央-B	07:03	07:10	07:17	07:28	
北安田-B	07:04	07:11	07:18	07:29	
出城公民館前-B	07:05	07:12	07:19	07:30	
村井町（千代野から）	07:06	07:13	07:20	07:31	
南松任（金沢駅方向）	07:07	07:14	07:21	07:32	
松任高校前-B	07:08	07:15	07:22	07:33	
西新町-B	07:09	07:16	07:23	07:34	
松任（金沢駅方向）	07:11	07:18	07:25	07:36	
布市町	07:14	07:21	07:28	07:39	
若宮体育館前	07:15	07:22	07:29	07:40	
長竹西	07:16	07:23	07:30	07:41	
長竹東	07:17	07:24	07:31	07:42	
明倫高校前（稲荷方向）	-	-	-	07:48	
明倫高校前（三納方向）	07:19	07:26	07:33		
三納町-B	07:20	07:27	07:34		
矢作北-B	07:22	07:29	07:36		
額新保一丁目-B	07:23	07:30	07:37		
額新町-B	07:24	07:31	07:38		
光が丘口（額住宅駅から）	07:26	07:33	07:40		
扇台小学校前-B	07:27	07:34	07:41		
扇が丘-B	07:28	07:35	07:42		
金沢工業大学（四十万から）	07:29	07:36	07:43		
三馬日赤病院前-B	07:30	07:37	07:44		
錦丘高校前（四十万から）	07:32	07:39	07:46		
伏見台（長坂方向）	07:33	07:40	07:47		
円光寺北-B	07:34	07:41	07:48		
泉丘高校前-B	07:36	07:43	07:50		
二水高校前-A	07:39	07:46	07:53		
平和町（公民館前）	07:40	07:47	07:54		
十一屋-B	07:42	07:49	07:56		
寺町一丁目（猿丸神社前方向）	07:43	07:50	07:57		
菊川一丁目-B	07:46	07:53	08:00		
思案橋-B	07:48	07:55	08:02		
幸町-B	07:49	07:56	08:03		
本多町-B	07:51	07:58	08:05		
広坂（金沢２１世紀美術館前）	07:52	07:59	08:06		
香林坊（市役所前）	08:04	08:11	08:18		
