始発停留所	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）			
始発時間	06:55	07:25	07:55	08:05	08:35	08:55	09:15	09:57	10:20	11:15	11:36	11:55	13:30	13:54	14:50	15:40	15:50	16:40	17:05	17:58	18:15	18:35	19:15	19:40	19:48	20:35	21:01			
終点時間	07:30	08:37	08:40	08:50	09:20	09:54	09:55	10:51	11:00	11:55	12:30	12:35	14:10	14:34	15:47	16:37	16:33	17:37	17:50	18:57	19:00	19:18	20:12	20:23	20:31	21:25	21:37			
終点停留所	柳橋-A	本津幡駅-B	柳橋-A	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A	木越住宅（始発）	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A	柳橋-A	柳橋-A	木越住宅（始発）	木越住宅（始発）	柳橋-A	木越住宅（始発）	柳橋-A	木越住宅（始発）	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A			
備考	ノンステップバス		ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス		ノンステップバス				ノンステップバス				ノンステップバス					ノンステップバス		ノンステップバス					
円光寺（始発）	06:55	07:25	07:55	08:05	08:35	08:55	09:15	09:57	10:20	11:15	11:36	11:55	13:30	13:54	14:50	15:40	15:50	16:40	17:05	17:58	18:15	18:35	19:15	19:40	19:48	20:35	21:01			
泉丘高校前-B	06:57	07:27	07:57	08:07	08:37	08:57	09:17	09:59	10:22	11:17	11:38	11:57	13:32	13:56	14:52	15:42	15:52	16:42	17:07	18:00	18:17	18:37	19:17	19:42	19:50	20:37	21:03			
泉が丘（有松方向）	06:58	07:28	07:58	08:08	08:38	08:58	09:18	10:00	10:23	11:18	11:39	11:58	13:33	13:57	14:53	15:43	15:53	16:43	17:08	18:01	18:18	18:38	19:18	19:43	19:51	20:38	21:04			
有松（泉が丘から）	06:59	07:30	08:00	08:10	08:40	09:00	09:20	10:02	10:25	11:20	11:41	12:00	13:35	13:59	14:55	15:45	15:55	16:45	17:10	18:03	18:20	18:40	19:20	19:45	19:53	20:39	21:05			
泉二丁目-B	07:01	07:32	08:02	08:12	08:42	09:02	09:22	10:04	10:27	11:22	11:43	12:02	13:37	14:01	14:57	15:47	15:57	16:47	17:12	18:05	18:22	18:42	19:22	19:47	19:55	20:41	21:07			
泉一丁目-B	07:02	07:33	08:03	08:13	08:43	09:03	09:23	10:05	10:28	11:23	11:44	12:03	13:38	14:02	14:58	15:48	15:58	16:48	17:13	18:06	18:23	18:43	19:23	19:48	19:56	20:42	21:08			
野町-B	07:03	07:35	08:05	08:15	08:45	09:05	09:24	10:06	10:29	11:24	11:45	12:04	13:39	14:03	14:59	15:49	15:59	16:49	17:15	18:08	18:25	18:44	19:24	19:49	19:57	20:43	21:09			
広小路（有松から）	07:04	07:36	08:06	08:16	08:46	09:06	09:25	10:07	10:30	11:25	11:46	12:05	13:40	14:04	15:00	15:50	16:00	16:50	17:16	18:09	18:26	18:45	19:25	19:50	19:58	20:44	21:10			
片町（ラブロ前）	07:06	07:40	08:10	08:20	08:50	09:10	09:28	10:10	10:33	11:28	11:49	12:08	13:43	14:07	15:03	15:53	16:03	16:53	17:20	18:13	18:30	18:48	19:28	19:53	20:01	20:47	21:13			
香林坊（日銀前）	07:08	07:42	08:12	08:22	08:52	09:12	09:30	10:12	10:35	11:30	11:51	12:10	13:45	14:09	15:05	15:55	16:05	16:55	17:22	18:15	18:32	18:50	19:30	19:55	20:03	20:49	21:15			
