始発停留所	柳橋（始発）	本津幡駅-B	柳橋（始発）	本津幡駅-B	木越住宅（始発）	木越住宅（始発）	柳橋（始発）	木越住宅（始発）	木越住宅（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	
始発時間	06:20	06:22	06:35	06:46	07:11	07:35	08:15	08:32	09:23	10:05	11:01	11:45	12:45	12:58	14:00	14:40	15:05	15:50	16:03	17:03	17:08	18:08	18:15	19:05	19:17	19:50	20:20	20:55	21:20	
終点時間	06:55	07:20	07:10	07:58	08:10	08:34	09:00	09:31	10:17	10:45	11:55	12:25	13:25	13:52	14:43	15:37	15:48	16:33	17:00	17:48	18:07	18:53	19:14	19:48	20:14	20:33	20:56	21:31	21:56	
終点停留所	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	
備考	ノンステップバス			ノンステップバス		ノンステップバス						ノンステップバス		ノンステップバス				ノンステップバス					ノンステップバス	ノンステップバス						
本津幡駅-B		06:22		06:46																										
庄本町通り-B		06:24		06:48																										
庄町商店街-B		06:24		06:48																										
パピィ・１通り-B		06:25		06:49																										
津幡中央-B		06:26		06:50																										
北中条-B		06:27		06:51																										
津幡駅前-B		06:29		06:53																										
新太田-B		06:31		06:55																										
利屋町（新道）		06:32		06:56																										
岸川（新道）		06:33		06:57																										
八幡-B		06:34		06:58																										
今町（新道）		06:35		07:00																										
観法寺-B		06:37		07:02																										
南森本-B		06:38		07:03																										
森本駅前-B		06:40		07:05																										
百坂-B		06:42		07:07																										
木越住宅（始発）		-		-	07:11	07:35		08:32	09:23		11:01			12:58		14:40			16:03		17:08		18:15		19:17					
木越住宅（市内方向）		-		-	07:11	07:35		08:32	09:23		11:01			12:58		14:40			16:03		17:08		18:15		19:17					
みずき団地口-B		-		-	07:12	07:36		08:33	09:24		11:02			12:59		14:41			16:04		17:09		18:16		19:18					
福久-B		-		-	07:13	07:37		08:34	09:25		11:03			13:00		14:42			16:05		17:10		18:17		19:19					
福久南-C		-		-	07:15	07:39		08:36	09:27		11:05			13:02		14:44			16:07		17:12		18:19		19:21					
荒屋-B		-		-	07:16	07:40		08:37	09:28		11:06			13:03		14:45			16:08		17:13		18:20		19:22					
金市-A		-		-	07:17	07:41		08:38	09:29		11:07			13:04		14:46			16:09		17:14		18:21		19:23					
金市団地-A		-		-	07:18	07:42		08:39	09:30		11:08			13:05		14:47			16:10		17:15		18:22		19:24					
横枕-A		-		-	07:19	07:43		08:40	09:31		11:09			13:06		14:48			16:11		17:16		18:23		19:25					
法光寺-B		06:43		07:08	07:21	07:45		08:42	09:33		11:11			13:08		14:50			16:13		17:18		18:25		19:27					
柳橋（森本から）		06:44		07:10	07:23	07:47		08:44	09:35		11:13			13:10		14:52			16:15		17:20		18:27		19:29					
柳橋（始発）	06:20	-	06:35	-	-	-	08:15	-	-	10:05	-	11:45	12:45	-	14:00	-	15:05	15:50	-	17:03	-	18:08	-	19:05	-	19:50	20:20	20:55	21:20	
神谷内-B	06:21	06:45	06:36	07:11	07:24	07:48	08:16	08:45	09:36	10:06	11:14	11:46	12:46	13:11	14:01	14:53	15:06	15:51	16:16	17:04	17:21	18:09	18:28	19:06	19:30	19:51	20:21	20:56	21:21	
小坂中-B	06:22	06:46	06:37	07:13	07:25	07:49	08:17	08:46	09:37	10:07	11:15	11:47	12:47	13:12	14:02	14:54	15:07	15:52	16:17	17:05	17:22	18:10	18:29	19:07	19:31	19:52	20:22	20:57	21:22	
小坂-B	06:23	06:47	06:38	07:14	07:26	07:50	08:18	08:47	09:38	10:08	11:16	11:48	12:48	13:13	14:03	14:55	15:08	15:53	16:18	17:06	17:23	18:11	18:30	19:08	19:32	19:53	20:23	20:58	21:23	
鳴和-B	06:24	06:48	06:39	07:15	07:27	07:51	08:19	08:48	09:39	10:09	11:17	11:49	12:49	13:14	14:04	14:56	15:09	15:54	16:19	17:07	17:24	18:12	18:31	19:09	19:33	19:54	20:24	20:59	21:24	
春日町（山の上方向）	06:25	06:49	06:40	07:17	07:29	07:53	08:21	08:50	09:40	10:10	11:18	11:50	12:50	13:15	14:05	14:57	15:10	15:55	16:20	17:09	17:26	18:14	18:33	19:10	19:34	19:55	20:25	21:00	21:25	
山の上（橋場方向）	06:26	06:50	06:41	07:18	07:30	07:54	08:22	08:51	09:41	10:11	11:19	11:51	12:51	13:16	14:06	14:58	15:11	15:56	16:21	17:10	17:27	18:15	18:34	19:11	19:35	19:56	20:26	21:01	21:26	
