始発停留所	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目			
始発時間	07:06	08:06	09:09	09:56	10:36	11:16	12:21	13:01	13:56	14:36	15:11	15:56	16:41	17:16	18:16	19:16	20:16			
終点時間	07:38	08:46	09:38	10:28	11:08	11:48	12:53	13:33	14:28	15:08	15:43	16:28	17:13	17:48	18:48	19:48	20:48			
終点停留所	武蔵ヶ辻（旧ダイエー前）	柳橋-A	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）	武蔵ヶ辻（旧ダイエー前）			
備考	ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			
泉野出町一丁目	07:15	08:15	09:15	10:05	10:45	11:25	12:30	13:10	14:05	14:45	15:20	16:05	16:50	17:25	18:25	19:25	20:25			
市総合体育館前-B	07:16	08:16	09:16	10:06	10:46	11:26	12:31	13:11	14:06	14:46	15:21	16:06	16:51	17:26	18:26	19:26	20:26			
泉野六丁目	07:17	08:17	09:17	10:07	10:47	11:27	12:32	13:12	14:07	14:47	15:22	16:07	16:52	17:27	18:27	19:27	20:27			
泉野四丁目（Ｖ１０前）	07:18	08:18	09:18	10:08	10:48	11:28	12:33	13:13	14:08	14:48	15:23	16:08	16:53	17:28	18:28	19:28	20:28			
泉野一丁目-A	07:19	08:19	09:19	10:09	10:49	11:29	12:34	13:14	14:09	14:49	15:24	16:09	16:54	17:29	18:29	19:29	20:29			
寺町一丁目（広小路方向）	07:20	08:20	09:20	10:10	10:50	11:30	12:35	13:15	14:10	14:50	15:25	16:10	16:55	17:30	18:30	19:30	20:30			
寺町二丁目-B	07:21	08:21	09:21	10:11	10:51	11:31	12:36	13:16	14:11	14:51	15:26	16:11	16:56	17:31	18:31	19:31	20:31			
寺町三丁目-B	07:22	08:22	09:22	10:12	10:52	11:32	12:37	13:17	14:12	14:52	15:27	16:12	16:57	17:32	18:32	19:32	20:32			
広小路（平和町から）	07:23	08:23	09:23	10:13	10:53	11:33	12:38	13:18	14:13	14:53	15:28	16:13	16:58	17:33	18:33	19:33	20:33			
片町（ラブロ前）	07:25	08:25	09:25	10:15	10:55	11:35	12:40	13:20	14:15	14:55	15:30	16:15	17:00	17:35	18:35	19:35	20:35			
香林坊（日銀前）	07:27	08:27	09:27	10:17	10:57	11:37	12:42	13:22	14:17	14:57	15:32	16:17	17:02	17:37	18:37	19:37	20:37			
香林坊（中央公園前）																				
広坂（しいのき迎賓館前）																				
兼六園下（白鳥路前）																				
橋場町（金城楼向）																				
橋場町（浅ノ川橋詰）																				
東山-A																				
森山-A																				
南町-B	07:28	08:28	09:28	10:18	10:58	11:38	12:43	13:23	14:18	14:58	15:33	16:18	17:03	17:38	18:38	19:38	20:38			
武蔵ヶ辻（旧ダイエー前）	07:38		09:38	10:28	11:08	11:48	12:53	13:33	14:28	15:08	15:43	16:28	17:13	17:48	18:48	19:48	20:48			
武蔵ヶ辻（エムザ前）		08:30																		
彦三-A		08:31																		
瓢箪町-A		08:32																		
小橋町-A		08:33																		
森山二丁目（山の上方向）		08:34																		
山の上（鳴和方向）		08:35																		
春日町（山の上から）		08:37																		
鳴和-A		08:39																		
小坂-A		08:40																		
小坂中-A		08:41																		
神谷内-A		08:42																		
柳橋-A		08:46																		
