始発停留所	柳橋（始発）	柳橋（始発）	柳橋（始発）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）			
始発時間	06:42	07:42	08:42	09:40	10:20	11:00	12:05	12:45	13:40	14:20	14:55	15:40	16:25	17:00	18:00	19:00	20:00			
終点時間	07:15	08:15	09:15	10:05	10:45	11:25	12:30	13:10	14:05	14:45	15:20	16:05	16:50	17:25	18:25	19:25	20:25			
終点停留所	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目	泉野出町一丁目			
備考	ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			
柳橋（始発）	06:42	07:42	08:42																	
神谷内-B	06:43	07:43	08:43																	
小坂中-B	06:44	07:44	08:44																	
小坂-B	06:45	07:45	08:45																	
鳴和-B	06:46	07:46	08:46																	
春日町（山の上方向）	06:47	07:47	08:47																	
山の上（彦三方向）	-	-	-																	
山の上（橋場方向）	06:48	07:48	08:48																	
森山-B	06:49	07:49	08:49																	
東山-B	06:50	07:50	08:50																	
橋場町（交番前）	06:52	07:52	08:52																	
橋場町（金城楼前）	06:52	07:52	08:52																	
兼六園下（石川門）	06:54	07:54	08:54																	
広坂（金沢２１世紀美術館前）	06:55	07:55	08:55																	
森山二丁目（彦三方向）	-	-	-																	
小橋町-B	-	-	-																	
瓢箪町-B	-	-	-																	
彦三-B	-	-	-																	
武蔵ヶ辻（近江町市場前）	-	-	-	09:40	10:20	11:00	12:05	12:45	13:40	14:20	14:55	15:40	16:25	17:00	18:00	19:00	20:00			
南町-A	-	-	-	09:41	10:21	11:01	12:06	12:46	13:41	14:21	14:56	15:41	16:26	17:01	18:01	19:01	20:01			
香林坊（アトリオ前）	-	-	-	09:43	10:23	11:03	12:08	12:48	13:43	14:23	14:58	15:43	16:28	17:03	18:03	19:03	20:03			
香林坊（市役所前）	06:56	07:56	08:56	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
片町（パシオン前）	06:58	07:58	08:58	09:45	10:25	11:05	12:10	12:50	13:45	14:25	15:00	15:45	16:30	17:05	18:05	19:05	20:05			
広小路（平和町方向）	07:00	08:00	09:00	09:47	10:27	11:07	12:12	12:52	13:47	14:27	15:02	15:47	16:32	17:07	18:07	19:07	20:07			
寺町三丁目-A	07:02	08:02	09:02	09:49	10:29	11:09	12:14	12:54	13:49	14:29	15:04	15:49	16:34	17:09	18:09	19:09	20:09			
寺町二丁目-A	07:03	08:03	09:03	09:50	10:30	11:10	12:15	12:55	13:50	14:30	15:05	15:50	16:35	17:10	18:10	19:10	20:10			
寺町一丁目（泉が丘方向）	07:04	08:04	09:04	09:51	10:31	11:11	12:16	12:56	13:51	14:31	15:06	15:51	16:36	17:11	18:11	19:11	20:11			
泉野一丁目-B	07:05	08:05	09:05	09:52	10:32	11:12	12:17	12:57	13:52	14:32	15:07	15:52	16:37	17:12	18:12	19:12	20:12			
泉野四丁目（有松方向）	07:06	08:06	09:06	09:53	10:33	11:13	12:18	12:58	13:53	14:33	15:08	15:53	16:38	17:13	18:13	19:13	20:13			
泉野六丁目	07:07	08:07	09:07	09:54	10:34	11:14	12:19	12:59	13:54	14:34	15:09	15:54	16:39	17:14	18:14	19:14	20:14			
市総合体育館前-B	07:08	08:08	09:08	09:55	10:35	11:15	12:20	13:00	13:55	14:35	15:10	15:55	16:40	17:15	18:15	19:15	20:15			
泉野出町-B	07:09	08:09	09:09	09:56	10:36	11:16	12:21	13:01	13:56	14:36	15:11	15:56	16:41	17:16	18:16	19:16	20:16			
伏見新町-B	07:10	08:10	09:10	09:57	10:37	11:17	12:22	13:02	13:57	14:37	15:12	15:57	16:42	17:17	18:17	19:17	20:17			
長坂台-B	07:11	08:11	09:11	09:58	10:38	11:18	12:23	13:03	13:58	14:38	15:13	15:58	16:43	17:18	18:18	19:18	20:18			
泉野出町一丁目	07:15	08:15	09:15	10:05	10:45	11:25	12:30	13:10	14:05	14:45	15:20	16:05	16:50	17:25	18:25	19:25	20:25			
