始発停留所	水上-B	水上-B			
始発時間	10:50	16:45			
終点時間	11:35	17:30			
終点停留所	七尾駅前【１】	七尾駅前【１】			
備考					
水上-B	10:50	16:45			
熊淵-B	10:51	16:46			
熊淵宮の下-B	10:52	16:47			
仏の前-B	10:53	16:48			
小川内口-B	10:54	16:49			
生出-B	10:56	16:51			
光円寺前-B	10:59	16:54			
山崎-B	11:00	16:55			
花園-B	11:01	16:56			
花園口-B	11:02	16:57			
黒崎-B	11:04	16:59			
出村-B	11:05	17:00			
上佐々波-B	11:06	17:01			
下佐々波-B	11:08	17:03			
虫崎-B	11:10	17:05			
大呑保育園前-B	11:11	17:06			
庵-B	11:13	17:08			
庵港-B	11:14	17:09			
百海-B	11:16	17:11			
沢野-B	11:20	17:15			
殿-B	11:21	17:16			
太田八幡-B	11:24	17:19			
卸売市場前-B	11:24	17:19			
東湊小学校前-B	11:25	17:20			
臼池-B	11:26	17:21			
万行浜通り-B	11:27	17:22			
矢田新東-B	11:28	17:23			
矢田新中央-B	11:29	17:24			
湊町口-B	11:30	17:25			
郡町-B	11:31	17:26			
川原町-D	11:32	17:27			
七尾駅前【ミナ．クル前降車場】	11:33	17:28			
七尾駅前【１】	11:35	17:30			
七尾駅前【５】					
小丸山公園下-A					
小丸山台１丁目-A					
小丸山台２丁目-A					
小丸山台３丁目-A					
能登総合病院					
