始発停留所	水上-B	水上-B	水上-B		
始発時間	07:30	13:00	17:40		
終点時間	08:25	13:45	18:25		
終点停留所	能登総合病院	七尾駅前【１】	七尾駅前【１】		
備考					
水上-B	07:30	13:00	17:40		
熊淵-B	07:31	13:01	17:41		
熊淵宮の下-B	07:32	13:02	17:42		
仏の前-B	07:33	13:03	17:43		
小川内口-B	07:34	13:04	17:44		
生出-B	07:36	13:06	17:46		
光円寺前-B	07:39	13:09	17:49		
山崎-B	07:40	13:10	17:50		
花園-B	07:41	13:11	17:51		
花園口-B	07:42	13:12	17:52		
黒崎-B	07:44	13:14	17:54		
出村-B	07:45	13:15	17:55		
上佐々波-B	07:46	13:16	17:56		
下佐々波-B	07:48	13:18	17:58		
虫崎-B	07:50	13:20	18:00		
大呑保育園前-B	07:51	13:21	18:01		
庵-B	07:53	13:23	18:03		
庵港-B	07:54	13:24	18:04		
百海-B	07:56	13:26	18:06		
沢野-B	08:00	13:30	18:10		
殿-B	08:01	13:31	18:11		
太田八幡-B	08:04	13:34	18:14		
卸売市場前-B	08:04	13:34	18:14		
東湊小学校前-B	08:05	13:35	18:15		
臼池-B	08:06	13:36	18:16		
万行浜通り-B	08:07	13:37	18:17		
矢田新東-B	08:08	13:38	18:18		
矢田新中央-B	08:09	13:39	18:19		
湊町口-B	08:10	13:40	18:20		
郡町-B	08:11	13:41	18:21		
川原町-D	08:12	13:42	18:22		
七尾駅前【ミナ．クル前降車場】	08:13	13:43	18:23		
七尾駅前【１】	-	13:45	18:25		
七尾駅前【５】	08:15				
小丸山公園下-A	08:16				
小丸山台１丁目-A	08:18				
小丸山台２丁目-A	08:19				
小丸山台３丁目-A	08:20				
能登総合病院	08:25				
