始発停留所	七尾駅前【３】	能登総合病院	七尾駅前【３】		
始発時間	06:40	11:50	16:50		
終点時間	07:26	12:56	17:36		
終点停留所	水上-B	水上-B	水上-B		
備考					
能登総合病院		11:50			
小丸山台３丁目-B		11:51			
小丸山台２丁目-B		11:52			
小丸山台１丁目-B		11:53			
小丸山公園下-B		11:55			
七尾駅前【３】	06:40	12:00	16:50		
川原町-C	06:42	12:02	16:52		
郡町-A	06:43	12:03	16:53		
湊町口-A	06:44	12:04	16:54		
矢田新中央-A	06:45	12:05	16:55		
矢田新東-A	06:46	12:06	16:56		
万行浜通り-A	06:47	12:07	16:57		
臼池-A	06:47	12:07	16:57		
東湊小学校前-A	06:48	12:08	16:58		
卸売市場前-A	06:49	12:09	16:59		
太田八幡-A	06:50	12:10	17:00		
殿-A	06:54	12:14	17:04		
沢野-A	06:55	12:15	17:05		
百海-A	06:59	12:19	17:09		
庵港-A	07:01	12:21	17:11		
庵-A	07:02	12:22	17:12		
大呑保育園前-B	07:03	12:23	17:13		
虫崎-B	07:04	12:24	17:14		
下佐々波-B	07:05	12:25	17:15		
上佐々波-B	07:07	12:27	17:17		
出村-B	07:08	12:28	17:18		
黒崎-B	07:09	12:29	17:19		
花園口-A	07:11	12:31	17:21		
東浜-B	-	12:32	-		
大泊-B	-	12:33	-		
大泊寺の前-B	-	12:34	-		
東大泊-B	-	12:34	-		
新脇-B	-	12:35	-		
脇-B	-	12:36	-		
花園-B	07:12	12:42	17:22		
山崎-B	07:13	12:43	17:23		
光円寺前-B	07:14	12:44	17:24		
生出-B	07:17	12:47	17:27		
小川内口-B	07:19	12:49	17:29		
仏の前-B	07:20	12:50	17:30		
熊淵宮の下-B	07:21	12:51	17:31		
熊淵-B	07:22	12:52	17:32		
水上-B	07:26	12:56	17:36		
