始発停留所	瀬女-A	瀬女-A	瀬女-A	瀬女-A	
始発時間	06:55	08:40	13:45	17:17	
終点時間	07:36	09:21	14:26	17:58	
終点停留所	鶴来駅-C	鶴来駅-C	鶴来駅-C	鶴来駅-C	
備考					
瀬女-A	06:55	08:40	13:45	17:17	
瀬戸野	06:56	08:41	13:46	17:18	
木滑新	06:57	08:42	13:47	17:19	
上木滑-C	06:58	08:43	13:48	17:20	
白山下	06:59	08:44	13:49	17:21	
河原山	07:00	08:45	13:50	17:22	
三ツ屋野	07:02	08:47	13:52	17:24	
西佐良	07:04	08:49	13:54	17:26	
上吉谷	07:05	08:50	13:55	17:27	
下吉谷	07:07	08:52	13:57	17:29	
釜清水	07:11	08:56	14:01	17:33	
小学校前	07:13	08:58	14:03	17:35	
上野	07:14	08:59	14:04	17:36	
下野	07:15	09:00	14:05	17:37	
若原	07:16	09:01	14:06	17:38	
大日川	07:17	09:02	14:07	17:39	
上河合	07:18	09:03	14:08	17:40	
加賀河合	07:19	09:04	14:09	17:41	
服部	07:20	09:05	14:10	17:42	
瀬木野	07:21	09:06	14:11	17:43	
ファミール鳥越-B	07:22	09:07	14:12	17:44	
広瀬	07:23	09:08	14:13	17:45	
中島	07:24	09:09	14:14	17:46	
南白山町	07:25	09:10	14:15	17:47	
石川県浄水場口	07:26	09:11	14:16	17:48	
白山町中	07:26	09:11	14:16	17:48	
白山町	07:27	09:12	14:17	17:49	
一の宮-B	07:28	09:13	14:18	17:50	
今町-B	07:29	09:14	14:19	17:51	
白山青年の家前-B	07:30	09:15	14:20	17:52	
鶴来本町-B	07:31	09:16	14:21	17:53	
大国町-A	-	-	-	-	
つるぎ病院前	-	-	-	-	
鶴来駅-C	07:36	09:21	14:26	17:58	
