始発停留所	瀬女-A	瀬女-A	瀬女-A		
始発時間	08:40	13:45	17:17		
終点時間	09:21	14:26	17:58		
終点停留所	鶴来駅-C	鶴来駅-C	鶴来駅-C		
備考					
瀬女-A	08:40	13:45	17:17		
瀬戸野	08:41	13:46	17:18		
木滑新	08:42	13:47	17:19		
上木滑-C	08:43	13:48	17:20		
白山下	08:44	13:49	17:21		
河原山	08:45	13:50	17:22		
三ツ屋野	08:47	13:52	17:24		
西佐良	08:49	13:54	17:26		
上吉谷	08:50	13:55	17:27		
下吉谷	08:52	13:57	17:29		
釜清水	08:56	14:01	17:33		
小学校前	08:58	14:03	17:35		
上野	08:59	14:04	17:36		
下野	09:00	14:05	17:37		
若原	09:01	14:06	17:38		
大日川	09:02	14:07	17:39		
上河合	09:03	14:08	17:40		
加賀河合	09:04	14:09	17:41		
服部	09:05	14:10	17:42		
瀬木野	09:06	14:11	17:43		
ファミール鳥越-B	09:07	14:12	17:44		
広瀬	09:08	14:13	17:45		
中島	09:09	14:14	17:46		
南白山町	09:10	14:15	17:47		
石川県浄水場口	09:11	14:16	17:48		
白山町中	09:11	14:16	17:48		
白山町	09:12	14:17	17:49		
一の宮-B	09:13	14:18	17:50		
今町-B	09:14	14:19	17:51		
白山青年の家前-B	09:15	14:20	17:52		
鶴来本町-B	09:16	14:21	17:53		
大国町-A	-	-	-		
つるぎ病院前	-	-	-		
鶴来駅-C	09:21	14:26	17:58		
