始発停留所	鶴来駅-C	鶴来駅-C	鶴来駅-C	鶴来駅-C	鶴来駅-C	鶴来駅-C	鶴来駅-C	鶴来駅-C		
始発時間	07:41	08:15	13:45	14:40	15:30	17:48	19:17	20:37		
終点時間	08:22	08:56	14:29	15:21	16:11	18:29	19:58	21:13		
終点停留所	瀬女-A	瀬女-A	瀬女-A	瀬女-A	瀬女-A	瀬女-A	瀬女-A	瀬女-A		
備考				学期休み期間、運休						
鶴来駅-C	07:41	08:15	13:45	14:40	15:30	17:48	19:17	20:37		
つるぎ病院前	-	-	13:47	-	-	-	-	-		
大国町-A	-	-	13:49	-	-	-	-	-		
鶴来本町-A	07:43	08:17	13:50	14:42	15:32	17:50	19:19	20:39		
白山青年の家前-A	07:44	08:18	13:51	14:43	15:33	17:51	19:20	20:40		
今町-A	07:45	08:19	13:52	14:44	15:34	17:52	19:21	20:41		
一の宮-A	07:46	08:20	13:53	14:45	15:35	17:53	19:22	20:42		
白山町	07:47	08:21	13:54	14:46	15:36	17:54	19:23	20:43		
白山町中	07:48	08:22	13:55	14:47	15:37	17:55	19:24	20:44		
石川県浄水場口	07:48	08:22	13:55	14:47	15:37	17:55	19:24	20:44		
南白山町	07:49	08:23	13:56	14:48	15:38	17:56	19:25	20:45		
中島	07:50	08:24	13:57	14:49	15:39	17:57	19:26	20:46		
広瀬	07:51	08:25	13:58	14:50	15:40	17:58	19:27	20:47		
ファミール鳥越-A	07:52	08:26	13:59	14:51	15:41	17:59	19:28	20:48		
瀬木野	07:53	08:27	14:00	14:52	15:42	18:00	19:29	20:49		
服部	07:54	08:28	14:01	14:53	15:43	18:01	19:30	20:50		
加賀河合	07:55	08:29	14:02	14:54	15:44	18:02	19:31	20:51		
上河合	07:56	08:30	14:03	14:55	15:45	18:03	19:32	20:52		
大日川	07:57	08:31	14:04	14:56	15:46	18:04	19:33	20:53		
若原	07:58	08:32	14:05	14:57	15:47	18:05	19:34	20:54		
下野	07:59	08:33	14:06	14:58	15:48	18:06	19:35	20:55		
上野	08:00	08:34	14:07	14:59	15:49	18:07	19:36	20:56		
小学校前	08:01	08:35	14:08	15:00	15:50	18:08	19:37	20:57		
釜清水	08:03	08:37	14:10	15:02	15:52	18:10	19:39	20:58		
下吉谷	08:07	08:41	14:14	15:06	15:56	18:14	19:43	21:01		
上吉谷	08:09	08:43	14:16	15:08	15:58	18:16	19:45	21:02		
西佐良	08:10	08:44	14:17	15:09	15:59	18:17	19:46	21:03		
三ツ屋野	08:12	08:46	14:19	15:11	16:01	18:19	19:48	21:04		
河原山	08:14	08:48	14:21	15:13	16:03	18:21	19:50	21:06		
白山下	08:15	08:49	14:22	15:14	16:04	18:22	19:51	21:07		
上木滑-C	08:17	08:51	14:24	15:16	16:06	18:24	19:53	21:08		
木滑新	08:18	08:52	14:25	15:17	16:07	18:25	19:54	21:09		
瀬戸野	08:19	08:53	14:26	15:18	16:08	18:26	19:55	21:10		
瀬女-A	08:22	08:56	14:29	15:21	16:11	18:29	19:58	21:13		
