始発停留所	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B			
始発時間	06:55	07:08	07:25	08:05	09:15	10:35	12:10	14:00	15:40	17:15	18:35	19:40			
終点時間	08:03	08:10	08:33	08:59	10:13	11:29	13:08	14:54	16:34	18:17	19:29	20:29			
終点停留所	野町駅-B	兼六園下（北鉄車庫前）	野町駅-B	野町駅-B	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）			
備考						ノンステップバス			ノンステップバス			ノンステップバス			
本津幡駅-B	06:55	07:08	07:25	08:05	09:15	10:35	12:10	14:00	15:40	17:15	18:35	19:40			
庄本町通り-B	06:57	07:10	07:27	08:07	09:17	10:37	12:12	14:02	15:42	17:17	18:37	19:42			
庄町商店街-B	06:57	07:10	07:27	08:07	09:17	10:37	12:12	14:02	15:42	17:17	18:37	19:42			
パピィ・１通り-B	06:58	07:11	07:28	08:08	09:18	10:38	12:13	14:03	15:43	17:18	18:38	19:43			
津幡中央-B	06:59	07:12	07:29	08:09	09:19	10:39	12:14	14:04	15:44	17:19	18:39	19:44			
新津幡-B	07:00	-	07:30	-	09:20	-	12:15	-	-	17:20	-	-			
横浜	07:01	-	07:31	-	09:21	-	12:16	-	-	17:21	-	-			
北中条	07:02	-	07:32	-	09:22	-	12:17	-	-	17:22	-	-			
中条	07:03	-	07:33	-	09:23	-	12:18	-	-	17:23	-	-			
潟端	07:04	-	07:34	-	09:24	-	12:19	-	-	17:24	-	-			
太田	07:05	-	07:35	-	09:25	-	12:20	-	-	17:25	-	-			
太田南口-B	07:06	-	07:36	-	09:26	-	12:21	-	-	17:26	-	-			
利屋町（旧道）	07:08	-	07:38	-	09:28	-	12:23	-	-	17:28	-	-			
岸川（旧道）-B	07:09	-	07:39	-	09:29	-	12:24	-	-	17:29	-	-			
二日市	07:11	-	07:41	-	09:31	-	12:26	-	-	17:31	-	-			
今町（旧道）-B	07:12	-	07:42	-	09:32	-	12:27	-	-	17:32	-	-			
森本大橋	07:15	-	07:45	-	09:35	-	12:30	-	-	17:35	-	-			
森本市民センター前-B	07:17	-	07:47	-	09:36	-	12:31	-	-	17:37	-	-			
北中条-B	-	07:13	-	08:10	-	10:40	-	14:05	15:45	-	18:40	19:45			
津幡駅前-B	-	07:15	-	08:12	-	10:42	-	14:07	15:47	-	18:42	19:47			
新太田-B	-	07:17	-	08:14	-	10:44	-	14:09	15:49	-	18:44	19:49			
利屋町（新道）	-	07:18	-	08:15	-	10:45	-	14:10	15:50	-	18:45	19:50			
岸川（新道）	-	07:19	-	08:16	-	10:46	-	14:11	15:51	-	18:46	19:51			
八幡-B	-	07:20	-	08:17	-	10:47	-	14:12	15:52	-	18:47	19:52			
今町（新道）	-	07:22	-	08:18	-	10:48	-	14:13	15:53	-	18:48	19:53			
観法寺-B	-	07:24	-	08:20	-	10:50	-	14:15	15:55	-	18:50	19:55			
南森本-B	-	07:25	-	08:21	-	10:51	-	14:16	15:56	-	18:51	19:56			
森本駅前-B	07:22	07:27	07:52	08:23	09:39	10:53	12:34	14:18	15:58	17:40	18:53	19:58			
百坂-B	07:24	07:29	07:54	08:25	09:41	10:55	12:36	14:20	16:00	17:42	18:55	20:00			
法光寺-B	07:25	07:30	07:55	08:26	09:42	10:56	12:37	14:21	16:01	17:43	18:56	20:01			
柳橋（森本から）	07:27	07:31	07:57	08:27	09:43	10:57	12:38	14:22	16:02	17:44	18:57	20:02			
柳橋（始発）	-	-	-	-	-	-	-	-	-	-	-	-			
神谷内-B	07:28	07:33	07:58	08:28	09:44	10:58	12:39	14:23	16:03	17:45	18:58	20:03			
小坂中-B	07:30	07:35	08:00	08:30	09:46	11:00	12:41	14:25	16:05	17:47	19:00	20:05			
小坂-B	07:31	07:36	08:01	08:31	09:47	11:01	12:42	14:26	16:06	17:48	19:01	20:06			
鳴和-B	07:32	07:38	08:02	08:32	09:48	11:02	12:43	14:27	16:07	17:49	19:02	20:07			
春日町（山の上方向）	07:34	07:40	08:04	08:34	09:50	11:04	12:45	14:29	16:09	17:51	19:04	20:08			
山の上（彦三方向）	07:37	07:43	08:07	08:35	09:51	11:05	12:46	14:30	16:10	17:53	19:05	20:09			
森山二丁目（彦三方向）	07:38	07:44	08:08	08:36	09:52	11:06	12:47	14:31	16:11	17:54	19:06	20:10			
小橋町-B	07:39	07:45	08:09	08:37	09:53	11:07	12:48	14:32	16:12	17:55	19:07	20:11			
瓢箪町-B	07:40	07:46	08:10	08:38	09:54	11:08	12:49	14:33	16:13	17:56	19:08	20:12			
彦三-B	07:41	07:47	08:11	08:39	09:55	11:09	12:50	14:34	16:14	17:57	19:09	20:13			
武蔵ヶ辻（近江町市場前）	07:43	-	08:13	08:41	-	-	-	-	-	-	-	-			
武蔵ヶ辻（三井住友銀行）	-	07:49	-	-	09:57	11:11	12:52	14:36	16:16	17:59	19:11	20:15			
南町-A	07:45	07:51	08:15	08:43	09:59	11:13	12:54	14:38	16:18	18:01	19:13	20:16			
香林坊（アトリオ前）	07:48	-	08:18	08:45	-	-	-	-	-	-	-	-			
香林坊（中央公園前）	-	07:53	-	-	10:01	11:15	12:56	14:40	16:20	18:03	19:15	20:18			
広坂（しいのき迎賓館前）	-	07:55	-	-	10:03	11:17	12:58	14:42	16:22	18:05	19:17	20:20			
兼六園下（北鉄車庫前）	-	08:10	-	-	10:13	11:29	13:08	14:54	16:34	18:17	19:29	20:29			
片町（パシオン前）	07:51		08:21	08:48											
広小路（有松方向）	07:54		08:24	08:51											
野町駅-B	08:03		08:33	08:59											
