始発停留所	吉田	七原口	吉田	七原口	
始発時間	07:20	09:45	13:00	16:45	
終点時間	07:45	10:11	13:25	17:11	
終点停留所	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	
備考					
吉田	07:20		13:00		
中勢橋	07:21		13:01		
七原口	-	09:45	-	16:45	
伊久留	-	09:46	-	16:46	
温井	-	09:47	-	16:47	
相馬住宅前	-	09:48	-	16:48	
西下-B	07:22	09:49	13:02	16:49	
満仁-B	07:23	09:50	13:03	16:50	
町屋口	07:25	09:52	13:05	16:52	
西池崎-B	07:27	09:54	13:07	16:54	
池崎-B	07:27	09:54	13:07	16:54	
盤若野	07:28	09:55	13:08	16:55	
三階口	07:30	09:57	13:10	16:57	
白馬	07:31	09:58	13:11	16:58	
白馬口-A	07:32	09:59	13:12	16:59	
青葉台-A	07:33	10:00	13:13	17:00	
細口-A	07:34	10:01	13:14	17:01	
国分-A	07:35	10:02	13:15	17:02	
七尾警察署前-A	07:36	10:03	13:16	17:03	
岩屋町-A	07:37	10:04	13:17	17:04	
西藤橋-A	07:38	10:05	13:18	17:05	
岩屋（化石層）	-	-	-	-	
能登総合病院	-	-	-	-	
七尾美術館前-B	-	-	-	-	
小丸山公園下-B	07:40	10:07	13:20	17:07	
七尾駅前【１】	07:45	10:11	13:25	17:11	
