始発停留所	吉田	吉田	吉田		
始発時間	07:20	08:50	13:20		
終点時間	07:45	09:22	13:45		
終点停留所	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】		
備考					
吉田	07:20	08:50	13:20		
中勢橋	07:21	08:51	13:21		
七原口	-	-	-		
伊久留	-	-	-		
温井	-	-	-		
相馬住宅前	-	-	-		
西下-B	07:22	08:52	13:22		
満仁-B	07:23	08:53	13:23		
町屋口	07:25	08:55	13:25		
西池崎-B	07:27	08:57	13:27		
池崎-B	07:27	08:57	13:27		
盤若野	07:28	08:58	13:28		
三階口	07:30	09:00	13:30		
白馬	07:31	09:01	13:31		
白馬口-A	07:32	09:02	13:32		
青葉台-A	07:33	09:03	13:33		
細口-A	07:34	09:04	13:34		
国分-A	07:35	09:05	13:35		
七尾警察署前-A	07:36	09:06	13:36		
岩屋町-A	07:37	09:07	13:37		
西藤橋-A	07:38	-	13:38		
岩屋（化石層）	-	-	-		
能登総合病院	-	09:11	-		
七尾美術館前-B	-	09:13	-		
小丸山公園下-B	07:40	09:15	13:40		
七尾駅前【１】	07:45	09:22	13:45		
