始発停留所	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】		
始発時間	08:10	12:30	18:05		
終点時間	08:45	13:12	18:40		
終点停留所	吉田	吉田	吉田		
備考					
七尾駅前【４】	08:10	12:30	18:05		
小丸山公園下-C	08:12	12:32	18:07		
七尾美術館前-A	-	12:35	-		
能登総合病院	-	12:37	-		
岩屋（化石層）	-	-	-		
西藤橋-B	08:14	-	18:09		
岩屋町-B	08:15	12:40	18:10		
七尾警察署前-B	08:16	12:41	18:11		
国分-B	08:17	12:42	18:12		
細口-B	08:18	12:43	18:13		
青葉台-B	08:19	12:44	18:14		
白馬口-B	08:20	12:45	18:15		
白馬	08:21	12:46	18:16		
三階口	08:22	12:47	18:17		
盤若野	08:24	12:49	18:19		
池崎-A	08:25	12:50	18:20		
西池崎-A	08:25	12:50	18:20		
町屋口	08:27	12:52	18:22		
満仁-A	08:29	12:54	18:24		
西下-A	08:30	12:55	18:25		
相馬住宅前	08:30	12:55	18:25		
温井	08:31	12:56	18:26		
伊久留	08:32	12:57	18:27		
七原口	08:34	12:59	18:29		
中勢橋	08:42	13:07	18:37		
吉田	08:45	13:12	18:40		
