始発停留所	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	県庁前-B				
始発時間	06:40	08:55	11:40	14:40	16:40	18:35				
終点時間	07:23	09:38	12:30	15:30	17:30	19:33				
終点停留所	上辰巳-A	上辰巳-A	駒帰	駒帰	駒帰	上辰巳-A				
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				
県庁前-B						18:35				
駅西合庁前（西念南方向）						18:38				
西念西-B						18:39				
西念南-B						18:40				
広岡-B						18:42				
金沢駅西口降車						18:46				
金沢駅西口【５】						18:46				
金沢駅東通り-B						18:48				
金沢駅【３】	06:40	08:55	11:40	14:40	16:40	18:52				
リファーレ前-A	06:42	08:57	11:42	14:42	16:42	18:54				
武蔵ヶ辻（横安江町）	06:44	08:59	11:44	14:44	16:44	18:56				
武蔵ヶ辻（旧ダイエー前）	06:44	08:59	11:44	14:44	16:44	18:56				
尾張町-A	06:46	09:01	11:46	14:46	16:46	18:58				
橋場町（金城楼前）	06:47	09:02	11:47	14:47	16:47	18:59				
兼六園下（石川門）	-	-	-	-	-	-				
兼六園下（県駐車場前）	06:48	09:04	11:49	14:49	16:49	19:01				
出羽町-A	06:50	09:07	11:52	14:52	16:52	19:04				
石引町-A	06:51	09:08	11:53	14:53	16:53	19:05				
小立野-A	06:52	09:09	11:54	14:54	16:54	19:06				
天徳院前-A	06:53	09:11	11:56	14:56	16:56	19:08				
小立野三丁目-A	06:54	09:12	11:57	14:57	16:57	19:09				
崎浦公民館-A	06:55	09:13	11:58	14:58	16:58	19:10				
小立野一丁目-A	06:56	09:14	11:59	14:59	16:59	19:11				
錦町（湯涌）	06:57	09:15	12:00	15:00	17:00	19:12				
土清水口-A	06:59	09:17	12:02	15:02	17:02	19:14				
土清水-A	07:00	09:18	12:03	15:03	17:03	19:15				
大道割口-A	07:01	09:19	12:04	15:04	17:04	19:16				
永安町（東部車庫方向）	07:02	09:20	12:05	15:05	17:05	19:17				
末-A	07:03	09:21	12:06	15:06	17:06	19:18				
都雅野住宅-A	07:03	09:21	12:06	15:06	17:06	19:18				
東部車庫-A	07:04	09:22	12:07	15:07	17:07	19:19				
犀川小学校前-A	07:05	09:23	12:08	15:08	17:08	19:20				
下辰巳	07:06	09:24	12:09	15:09	17:09	19:21				
辰巳農協前	07:07	09:25	12:10	15:10	17:10	19:22				
中辰己	07:08	09:26	12:11	15:11	17:11	19:23				
上辰巳-A	07:23	09:38	12:13	15:13	17:13	19:33				
瀬領			12:18	15:18	17:18					
駒帰口			12:21	15:21	17:21					
駒帰			12:30	15:30	17:30					
