始発停留所	田上住宅	田上住宅	田上住宅	田上住宅	
始発時間	08:00	11:55	15:25	17:40	
終点時間	08:39	12:34	16:04	18:19	
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
田上住宅	08:00	11:55	15:25	17:40	
田上一丁目-A	08:01	11:56	15:26	17:41	
加賀田上-B	08:02	11:57	15:27	17:42	
下田上-B	08:03	11:58	15:28	17:43	
山環田上-D	08:04	11:59	15:29	17:44	
旭町一丁目（小立野方向）	08:05	12:00	15:30	17:45	
小立野２丁目	08:07	12:02	15:32	17:47	
小立野三丁目-B	08:09	12:04	15:34	17:49	
天徳院前-B	08:10	12:05	15:35	17:50	
小立野-B	08:12	12:07	15:37	17:52	
石引町-B	08:13	12:08	15:38	17:53	
出羽町-B	08:14	12:09	15:39	17:54	
兼六園下（物産館前）	08:17	12:12	15:42	17:57	
兼六園下（石川門）	08:17	12:12	15:42	17:57	
広坂（金沢２１世紀美術館前）	08:19	12:14	15:44	17:59	
香林坊（日銀前）	08:21	12:16	15:46	18:01	
南町-B	08:23	12:18	15:48	18:03	
武蔵ヶ辻（エムザ前）	08:25	12:20	15:50	18:05	
リファーレ前-B	08:27	12:22	15:52	18:07	
金沢駅【降車場】	08:39	12:34	16:04	18:19	
